Effect	Parameter	T	P	Beta
Age0	Exponent (grad)	-1.2373531349117608	0.9724	-0.0011296413451213
Age0:deltaAge	Exponent (grad)	2.9063582176743763	0.0826	0.0002018031768517
deltaAge	Exponent (grad)	-1.1503361029401906	0.9896	-0.0011302611990214
Age0	Theta Band Power (grad)	3.7460691475799193	0.0037	0.0040385471320457
Age0:deltaAge	Theta Band Power (grad)	0.8430815026251303	0.9998	6.339588532157385e-05
deltaAge	Theta Band Power (grad)	3.096408592160575	0.0533	0.003294344790201
Age0	Alpha Band Power (grad)	-0.7859385687578614	0.9997	-0.0013161799842992
Age0:deltaAge	Alpha Band Power (grad)	-2.121268668902302	0.4872	-0.0001759995826928
deltaAge	Alpha Band Power (grad)	-5.147119570080919	0.0	-0.0060402240294349
Age0	Alpha Peak Freq (grad)	-4.642974164025423	0.0001	-0.0158889833324698
Age0:deltaAge	Alpha Peak Freq (grad)	-0.1483102139583546	1.0	-3.300830849051504e-05
deltaAge	Alpha Peak Freq (grad)	-5.170028752217086	0.0	-0.0162789284627137
Age0	Beta Band Power (grad)	2.037641321098259	0.4989	0.0015542583077546
Age0:deltaAge	Beta Band Power (grad)	-4.995403153574485	0.0	-0.0002070364768539
deltaAge	Beta Band Power (grad)	-5.338425170783746	0.0	-0.003129626644653
Age0	Beta Peak Freq (grad)	-2.4778624502194835	0.2069	-0.031645563210444
Age0:deltaAge	Beta Peak Freq (grad)	-1.948430817633944	0.6223	-0.0012757669618554
deltaAge	Beta Peak Freq (grad)	-6.606274112518234	0.0	-0.0611823754126942
