ccid	p2_meg_age	p5_meg_age
CC120049	28.3	39.4
CC120065	25.8	37.4
CC120218	27.2	38.5
CC120470	29	39.8
CC120640	27.6	37.9
CC120795	24.3	35.6
CC121428	26.8	37.7
CC210023	32	43.2
CC210088	36.5	48.7
CC220107	34.5	46.3
CC220335	34.9	45.8
CC220419	31.5	43.3
CC220518	30.8	42.7
CC220519	29.9	40.3
CC220828	33.8	44.7
CC220974	37.3	48.1
CC221002	38.3	49.7
CC221487	36	46.1
CC221585	38.2	49
CC221977	37.7	48.2
CC222258	35.9	46.7
CC222264	37.4	48
CC222496	38.2	48.5
CC222652	30.3	40.8
CC223286	36.3	46.8
CC310051	42.5	55.8
CC310086	48.2	60.4
CC310203	40.2	52.1
CC310407	39.1	51.2
CC310410	41.6	53.3
CC310414	41.2	52.9
CC310463	45.4	56.8
CC310473	47	58
CC312058	48	59.2
CC320022	40.2	51.6
CC320206	47.8	58.9
CC320218	47.6	58.7
CC320321	40.8	51.7
CC320342	40.8	51.6
CC320359	48.3	59.2
CC320500	46.9	57.9
CC320616	39.2	50.5
CC320621	46.4	57.2
CC320636	45.5	56.8
CC320687	42.2	53.4
CC320888	47.5	58.5
CC321137	41.4	52.6
CC321428	43.1	54
CC321544	45.1	55.7
CC410091	57.2	69.2
CC410101	57.3	69.9
CC410113	56	67.7
CC410129	58.3	70.5
CC410177	57.6	69.5
CC410179	56.1	68.3
CC410182	53.6	65.6
CC410243	57.3	69.3
CC410297	58.4	70.4
CC410325	54.5	66
CC410354	49.2	61
CC410390	56.7	67.9
CC420004	49.7	61.5
CC420075	52.9	64.2
CC420094	56.3	67.4
CC420149	52.3	63.6
CC420157	58.4	69.2
CC420173	49.7	62.8
CC420198	58.9	69.7
CC420202	51.3	62.1
CC420204	53.7	65.2
CC420231	55	66.2
CC420241	55.7	67
CC420259	52.2	63.2
CC420286	57.3	68.2
CC420348	57.9	68
CC420392	51.8	62.8
CC420396	54.2	64.5
CC420433	52.3	62.7
CC420589	52.8	62.9
CC510237	66.8	79.2
CC510256	64.2	76.2
CC510329	64.2	75.8
CC510392	67.6	79.3
CC510433	62.2	74.2
CC510438	63	74.2
CC510548	62.9	74.3
CC510609	59.3	70.6
CC510639	63.1	74.5
CC510648	62.1	73.6
CC512003	63.2	75
CC520055	61.7	73.2
CC520065	60.9	72.3
CC520076	66.5	72.9
CC520134	67.7	78.3
CC520136	65.6	76.6
CC520175	61.4	72.6
CC520209	66.8	78.3
CC520254	66.8	77.7
CC520390	66.2	76.9
CC520477	66.5	77.1
CC520480	61	71.5
CC520517	65.6	76.3
CC520542	71.8	77.3
CC520562	66.5	77.4
CC520589	68.7	75.4
CC520669	64.1	70.9
CC520712	65.3	72.1
CC520980	68	80.5
CC521040	63.3	73.9
CC521094	72.2	77.8
CC521167	67.3	74.2
CC610051	69.2	80.6
CC610099	69.4	82.3
CC610308	69.4	81.5
CC610392	75.8	87.9
CC610405	72.5	83.2
CC620017	73.9	80
CC620164	73.2	84
CC620193	76.3	87.3
CC620321	74.3	81.7
CC620485	73.9	80.8
CC620496	70.6	81.3
CC620619	72.1	83.1
CC620659	71.7	83.1
CC620785	69.4	79.7
CC620918	74.7	80.5
CC620967	74.4	80.3
CC621020	82.2	89.3
CC621199	72.9	83.8
CC621283	73.7	80.8
CC710088	83.5	95.5
CC720103	81.4	91.7
CC720718	84.1	90.7
