row	frequency_bin	count
0	2.0	113
1	2.5	286
2	3.0	535
3	3.5	767
4	4.0	1035
5	4.5	973
6	5.0	2015
7	5.5	3294
8	6.0	3787
9	6.5	3951
10	7.0	4240
11	7.5	6258
12	8.0	8883
13	8.5	9548
14	9.0	11258
15	9.5	11532
16	10.0	10003
17	10.5	7296
18	11.0	5743
19	11.5	5310
20	12.0	5245
21	12.5	5305
22	13.0	5213
23	13.5	5084
24	14.0	5501
25	14.5	5735
26	15.0	5601
27	15.5	5277
28	16.0	4718
29	16.5	4532
30	17.0	4252
31	17.5	4090
32	18.0	3832
33	18.5	3650
34	19.0	4002
35	19.5	4471
36	20.0	4340
37	20.5	4656
38	21.0	5293
39	21.5	4241
40	22.0	3458
41	22.5	3402
42	23.0	4236
43	23.5	6053
44	24.0	6375
45	24.5	6689
46	25.0	7221
47	25.5	7606
48	26.0	5856
49	26.5	4405
50	27.0	3727
51	27.5	3774
52	28.0	3217
53	28.5	1545
54	29.0	797
55	29.5	445
56	30.0	231
57	30.5	119
58	31.0	132
59	31.5	98
60	32.0	40
61	32.5	30
62	33.0	22
63	33.5	39
64	34.0	1
65	34.5	12
66	35.0	30
67	35.5	8
68	36.0	17
69	36.5	63
70	37.0	64
71	37.5	78
72	38.0	223
73	38.5	1810
74	39.0	2392
75	39.5	322
