theta_peak_freq,Aperiodic_mode,Counts
7.271551937243458,Knee,90
5.694001103769595,Knee,30
6.3290891081432346,Knee,36
7.419738665614097,Knee,75
6.633129936300934,Knee,37
6.606546345221613,Knee,55
6.23365449094702,Knee,23
6.85407351702555,Knee,60
6.342010494229665,Knee,30
7.1721742566273425,Knee,114
5.919671417238385,Knee,15
7.787701761827782,Knee,9
7.60490527695697,Knee,18
6.96201463609635,Knee,26
4.977886737096138,Knee,52
6.8182730509117695,Knee,23
7.735558054144717,Knee,27
5.846254363317519,Knee,91
6.478996122345175,Knee,13
6.217966330961758,Knee,144
6.247219588405993,Knee,45
6.632857871118921,Knee,71
6.518354906428666,Knee,53
7.891377590933018,Knee,1
7.670195058442224,Knee,29
7.123458301877495,Knee,128
4.207337338710843,Knee,6
5.811986658490081,Knee,44
5.99227487255275,Knee,31
7.142841454704631,Knee,122
6.859329591580197,Knee,87
7.340424169921939,Knee,53
5.8428880901831235,Knee,109
6.299737663654099,Knee,16
6.447055764467421,Knee,100
5.457591108315403,Knee,32
7.435622182025611,Knee,62
5.062552412434356,Knee,100
6.472802622954699,Knee,169
7.294400116757036,Knee,12
6.214613056985749,Knee,26
5.883480361038167,Knee,51
7.028810790217344,Knee,72
6.489557964277695,Knee,59
7.813878552763822,Knee,166
6.81673125598841,Knee,31
6.781059112687532,Knee,158
5.2148083601731425,Knee,70
7.57784324625886,Knee,20
6.206549995848293,Knee,59
6.7628703504201395,Knee,6
6.674526412192746,Knee,155
6.376260963445052,Knee,97
7.097875891989749,Knee,80
7.726592140098456,Knee,161
4.326077873794703,Knee,4
5.489945406612973,Knee,5
5.621347422946859,Knee,39
5.991237615885492,Knee,37
5.73219779565038,Knee,67
5.5934229153143775,Knee,99
7.045028108395256,Knee,18
5.78782557812156,Knee,20
6.944618327618725,Knee,30
7.486645923090651,Knee,138
7.704966364703032,Knee,137
5.211450837494267,Knee,134
6.598188251532043,Knee,30
6.341516027315939,Knee,50
7.25782343801674,Knee,179
6.9406224577788205,Knee,90
5.62694544430964,Knee,72
6.84307373062188,Knee,39
6.93301663698806,Knee,14
6.717639126918808,Knee,19
6.339538499627146,Knee,4
7.605800251584883,Knee,89
6.790749939148187,Knee,81
7.36332107040114,Knee,59
6.582386734844425,Knee,45
6.676818451286329,Knee,43
6.741060973537256,Knee,73
6.8554325460826036,Knee,185
6.596529630881869,Knee,126
7.318094447569521,Knee,128
5.366495035948356,Knee,16
7.111751317744294,Knee,81
6.149012222651762,Knee,13
7.377327500066086,Knee,85
7.140353237903654,Knee,82
7.286613044606763,Knee,14
7.308674974751573,Knee,122
6.964004445439383,Knee,6
7.515985397162675,Knee,104
7.268715507578153,Knee,83
6.957551658286273,Knee,151
4.59528873685262,Knee,9
4.000000002399159,Knee,2
6.002007209533635,Knee,12
7.797580243605606,Knee,97
5.237652210578931,Knee,13
6.009560851379541,Knee,62
6.791039486979629,Knee,73
7.064446838480969,Knee,39
