Channel	Mean_Value	Positions	Kneemode	Parameter
MEG0111	0.8912391052271142	[-0.07917783  0.05162778]	fixed	exponent
MEG0121	0.9109134722697229	[-0.06353137  0.05796916]	fixed	exponent
MEG0131	1.0094196533783748	[-0.07306393  0.03320063]	fixed	exponent
MEG0141	0.8830512555848687	[-0.08729516  0.01997238]	fixed	exponent
MEG0211	0.9588641633665266	[-0.06012539  0.03112813]	fixed	exponent
MEG0221	0.8971116664666221	[-0.04653875  0.03178404]	fixed	exponent
MEG0231	0.9493968897602025	[-0.04972915  0.00958023]	fixed	exponent
MEG0241	1.021780723914775	[-0.06316712  0.00639842]	fixed	exponent
MEG0311	0.9033575560038622	[-0.04109149  0.06914696]	fixed	exponent
MEG0321	0.8853247052135875	[-0.03907986  0.05081755]	fixed	exponent
MEG0331	0.867871696202742	[-0.02737453  0.04594114]	fixed	exponent
MEG0341	0.9250699031436306	[-0.05229797  0.05245499]	fixed	exponent
MEG0411	0.8599044959666844	[-0.0333981  0.0293631]	fixed	exponent
MEG0421	0.8243556292830816	[-0.01990452  0.02729548]	fixed	exponent
MEG0431	0.795286783255082	[-0.02086283  0.0097443 ]	fixed	exponent
MEG0441	0.8643490654710977	[-0.03546709  0.01030442]	fixed	exponent
MEG0511	0.8665260627105366	[-0.02758016  0.07916023]	fixed	exponent
MEG0521	0.8342022877181742	[-0.01358655  0.08438625]	fixed	exponent
MEG0531	0.8491513159589765	[-0.01257771  0.07149513]	fixed	exponent
MEG0541	0.8761926877412282	[-0.02687684  0.06468805]	fixed	exponent
MEG0611	0.8500545885175216	[-0.01276617  0.05754249]	fixed	exponent
MEG0621	0.8384554299677044	[0.0006164  0.04393205]	fixed	exponent
MEG0631	0.8240138260560097	[-0.00632393  0.02822979]	fixed	exponent
MEG0641	0.8398837390171766	[-0.01323791  0.04314503]	fixed	exponent
MEG0711	0.7945919774386985	[-0.0064962   0.01196878]	fixed	exponent
MEG0721	0.7960021211015126	[0.00773153 0.01181875]	fixed	exponent
MEG0731	0.7970885832469613	[ 0.00781366 -0.00338581]	fixed	exponent
MEG0741	0.7937768787514927	[-0.00669558 -0.00330056]	fixed	exponent
MEG0811	0.8172874268534004	[0.00062186 0.08612124]	fixed	exponent
MEG0821	0.838233893641234	[0.00061835 0.07316222]	fixed	exponent
MEG0911	0.8209364751383148	[0.01474287 0.08443054]	fixed	exponent
MEG0921	0.8500776952865576	[0.02885861 0.0791216 ]	fixed	exponent
MEG0931	0.8647961591045218	[0.02805091 0.06472083]	fixed	exponent
MEG0941	0.8444828594128954	[0.01378827 0.07155717]	fixed	exponent
MEG1011	0.844494922541843	[0.00061659 0.05944545]	fixed	exponent
MEG1021	0.8464514284214095	[0.01388913 0.05755029]	fixed	exponent
MEG1031	0.8381440993296521	[0.01431151 0.04316669]	fixed	exponent
MEG1041	0.8205558507626937	[0.00760238 0.02834821]	fixed	exponent
MEG1111	0.8210268530632466	[0.02098397 0.02724378]	fixed	exponent
MEG1121	0.8590616597150585	[0.03451189 0.02930652]	fixed	exponent
MEG1131	0.8561077918933683	[0.03654966 0.01013508]	fixed	exponent
MEG1141	0.7956599401968024	[0.02196725 0.00989824]	fixed	exponent
MEG1211	0.8844250005010056	[0.04244096 0.06909526]	fixed	exponent
MEG1221	0.8980131809948042	[0.05372723 0.05225033]	fixed	exponent
MEG1231	0.8771424881236072	[0.04023833 0.05081755]	fixed	exponent
MEG1241	0.8581270884209897	[0.02844266 0.04597879]	fixed	exponent
MEG1311	0.895761545094715	[0.04769741 0.03178404]	fixed	exponent
MEG1321	0.9503086283984811	[0.0612423  0.03096366]	fixed	exponent
MEG1331	1.009853524586081	[0.0644842  0.00620137]	fixed	exponent
MEG1341	0.9418429860175133	[0.05083689 0.00958023]	fixed	exponent
MEG1411	0.8849032590330214	[0.06480572 0.05806164]	fixed	exponent
MEG1421	0.8601729580841506	[0.08000014 0.05216156]	fixed	exponent
MEG1431	0.8526851520504477	[0.08829072 0.02027243]	fixed	exponent
MEG1441	0.9837775855090886	[0.07406944 0.03305723]	fixed	exponent
MEG1511	0.9594988198977659	[-0.07677971  0.00396636]	fixed	exponent
MEG1521	0.9032614401248523	[-0.0722295  -0.02191305]	fixed	exponent
MEG1531	0.7174640879476162	[-0.07723721 -0.04034606]	fixed	exponent
MEG1541	0.7844806365309442	[-0.08653078 -0.01192436]	fixed	exponent
MEG1611	1.029075290819806	[-0.06048944 -0.0155424 ]	fixed	exponent
MEG1621	0.9916079113103888	[-0.04770776 -0.01055206]	fixed	exponent
MEG1631	0.9888812755309973	[-0.03894583 -0.02837695]	fixed	exponent
MEG1641	0.9935535149913651	[-0.05136307 -0.03537502]	fixed	exponent
MEG1711	0.7021657425534685	[-0.06035287 -0.06401172]	fixed	exponent
MEG1721	0.817968130996128	[-0.06079789 -0.04522812]	fixed	exponent
MEG1731	0.8088971655652782	[-0.04348434 -0.06300815]	fixed	exponent
MEG1741	0.6938460044756332	[-0.03839313 -0.08072242]	fixed	exponent
MEG1811	0.9039826494634815	[-0.03430783 -0.00736205]	fixed	exponent
MEG1821	0.8260801779319811	[-0.02058443 -0.00592537]	fixed	exponent
MEG1831	0.8364740668440782	[-0.00689634 -0.01789135]	fixed	exponent
MEG1841	0.9044950303324124	[-0.02375414 -0.02371671]	fixed	exponent
MEG1911	0.9494623337659432	[-0.02532095 -0.04121833]	fixed	exponent
MEG1921	0.9101376660561696	[-0.01925739 -0.06060242]	fixed	exponent
MEG1931	0.745473914443359	[-0.02255899 -0.07438026]	fixed	exponent
MEG1941	0.9494944961119386	[-0.03706745 -0.05071265]	fixed	exponent
MEG2011	0.8932891281781999	[-0.00784977 -0.03303993]	fixed	exponent
MEG2021	0.9061813118378418	[ 0.00891283 -0.03301691]	fixed	exponent
MEG2031	0.955782412651159	[ 0.00923884 -0.04802013]	fixed	exponent
MEG2041	0.9412176393387639	[-0.00807998 -0.04796219]	fixed	exponent
MEG2111	0.9383142844646557	[ 0.00052002 -0.06377077]	fixed	exponent
MEG2121	0.7727084153053473	[ 0.00057933 -0.07811341]	fixed	exponent
MEG2131	0.6779737347751247	[ 0.01407896 -0.08946465]	fixed	exponent
MEG2141	0.6828277096308889	[-0.01299795 -0.08944845]	fixed	exponent
MEG2211	0.8343107519934866	[ 0.02169353 -0.00587523]	fixed	exponent
MEG2221	0.9082850729402936	[ 0.03544971 -0.00723856]	fixed	exponent
MEG2231	0.8932652808564966	[ 0.02493309 -0.0238404 ]	fixed	exponent
MEG2241	0.8372328670909883	[ 0.00810202 -0.01791028]	fixed	exponent
MEG2311	0.9338761003106288	[ 0.02646362 -0.04124486]	fixed	exponent
MEG2321	0.9295011486698778	[ 0.03804624 -0.05075069]	fixed	exponent
MEG2331	0.7488285245204176	[ 0.0236439  -0.07436699]	fixed	exponent
MEG2341	0.9056866410458394	[ 0.02020808 -0.06063383]	fixed	exponent
MEG2411	0.9821395937608969	[ 0.04888106 -0.01037042]	fixed	exponent
MEG2421	1.0080212377936508	[ 0.06152987 -0.01565458]	fixed	exponent
MEG2431	0.9807829339079629	[ 0.05233503 -0.0355032 ]	fixed	exponent
MEG2441	0.9730839713858483	[ 0.04010449 -0.02837695]	fixed	exponent
MEG2511	0.7899867124820172	[ 0.04454057 -0.06303487]	fixed	exponent
MEG2521	0.8080867638639635	[ 0.06193723 -0.04513292]	fixed	exponent
MEG2531	0.7033798471164313	[ 0.06140794 -0.06407473]	fixed	exponent
MEG2541	0.6808477490729687	[ 0.03945209 -0.08076729]	fixed	exponent
MEG2611	0.9238829416552636	[0.07775537 0.0039728 ]	fixed	exponent
MEG2621	0.7565589193587814	[ 0.08759228 -0.01181315]	fixed	exponent
MEG2631	0.7121529621023741	[ 0.07815474 -0.04057159]	fixed	exponent
MEG2641	0.8653448898091656	[ 0.07331851 -0.02188554]	fixed	exponent
