Channel	Mean_Value	Positions	Kneemode	Parameter
MEG0111	1.615011468841521	[-0.07917783  0.05162778]	knee	exponent
MEG0121	1.8994971464462036	[-0.06353137  0.05796916]	knee	exponent
MEG0131	2.263790925696868	[-0.07306393  0.03320063]	knee	exponent
MEG0141	1.6757463903373213	[-0.08729516  0.01997238]	knee	exponent
MEG0211	2.8310704491311722	[-0.06012539  0.03112813]	knee	exponent
MEG0221	3.1006951439064836	[-0.04653875  0.03178404]	knee	exponent
MEG0231	3.4824134192198772	[-0.04972915  0.00958023]	knee	exponent
MEG0241	3.029496985137799	[-0.06316712  0.00639842]	knee	exponent
MEG0311	1.9332128576276673	[-0.04109149  0.06914696]	knee	exponent
MEG0321	2.587517480346303	[-0.03907986  0.05081755]	knee	exponent
MEG0331	2.679964075707926	[-0.02737453  0.04594114]	knee	exponent
MEG0341	2.4329834047759684	[-0.05229797  0.05245499]	knee	exponent
MEG0411	3.2382901333501937	[-0.0333981  0.0293631]	knee	exponent
MEG0421	3.2874948257368364	[-0.01990452  0.02729548]	knee	exponent
MEG0431	3.6989493306415153	[-0.02086283  0.0097443 ]	knee	exponent
MEG0441	3.7009743843051988	[-0.03546709  0.01030442]	knee	exponent
MEG0511	1.595702057611939	[-0.02758016  0.07916023]	knee	exponent
MEG0521	1.42771455108343	[-0.01358655  0.08438625]	knee	exponent
MEG0531	1.786622940377577	[-0.01257771  0.07149513]	knee	exponent
MEG0541	2.077769923391835	[-0.02687684  0.06468805]	knee	exponent
MEG0611	2.195102470464961	[-0.01276617  0.05754249]	knee	exponent
MEG0621	2.5425407170355987	[0.0006164  0.04393205]	knee	exponent
MEG0631	3.0421848428081644	[-0.00632393  0.02822979]	knee	exponent
MEG0641	2.6449759231562058	[-0.01323791  0.04314503]	knee	exponent
MEG0711	3.3047121337054812	[-0.0064962   0.01196878]	knee	exponent
MEG0721	3.2913803471294143	[0.00773153 0.01181875]	knee	exponent
MEG0731	3.430704605114655	[ 0.00781366 -0.00338581]	knee	exponent
MEG0741	3.4295629977193953	[-0.00669558 -0.00330056]	knee	exponent
MEG0811	1.3568328739111475	[0.00062186 0.08612124]	knee	exponent
MEG0821	1.6812026335922128	[0.00061835 0.07316222]	knee	exponent
MEG0911	1.3992683307110767	[0.01474287 0.08443054]	knee	exponent
MEG0921	1.5931403238046593	[0.02885861 0.0791216 ]	knee	exponent
MEG0931	2.115607401551842	[0.02805091 0.06472083]	knee	exponent
MEG0941	1.7919794667771805	[0.01378827 0.07155717]	knee	exponent
MEG1011	2.1045442007557322	[0.00061659 0.05944545]	knee	exponent
MEG1021	2.2441480512613508	[0.01388913 0.05755029]	knee	exponent
MEG1031	2.6926156228661697	[0.01431151 0.04316669]	knee	exponent
MEG1041	3.1037497270765417	[0.00760238 0.02834821]	knee	exponent
MEG1111	3.451393891966852	[0.02098397 0.02724378]	knee	exponent
MEG1121	3.2920570399314264	[0.03451189 0.02930652]	knee	exponent
MEG1131	3.8760377831543105	[0.03654966 0.01013508]	knee	exponent
MEG1141	3.786928429637135	[0.02196725 0.00989824]	knee	exponent
MEG1211	1.9179769507463553	[0.04244096 0.06909526]	knee	exponent
MEG1221	2.3838651615753945	[0.05372723 0.05225033]	knee	exponent
MEG1231	2.649104191359777	[0.04023833 0.05081755]	knee	exponent
MEG1241	2.8065580892733215	[0.02844266 0.04597879]	knee	exponent
MEG1311	3.1498626791654702	[0.04769741 0.03178404]	knee	exponent
MEG1321	2.7428204277763806	[0.0612423  0.03096366]	knee	exponent
MEG1331	2.9483487745073687	[0.0644842  0.00620137]	knee	exponent
MEG1341	3.502538675956133	[0.05083689 0.00958023]	knee	exponent
MEG1411	1.7322039205868345	[0.06480572 0.05806164]	knee	exponent
MEG1421	1.446379142696132	[0.08000014 0.05216156]	knee	exponent
MEG1431	1.4938804248610567	[0.08829072 0.02027243]	knee	exponent
MEG1441	2.1289965995823867	[0.07406944 0.03305723]	knee	exponent
MEG1511	2.1969925043965444	[-0.07677971  0.00396636]	knee	exponent
MEG1521	2.3020669884648193	[-0.0722295  -0.02191305]	knee	exponent
MEG1531	1.4744651041789483	[-0.07723721 -0.04034606]	knee	exponent
MEG1541	1.5293091528657716	[-0.08653078 -0.01192436]	knee	exponent
MEG1611	3.2482442120225055	[-0.06048944 -0.0155424 ]	knee	exponent
MEG1621	3.7487311374899814	[-0.04770776 -0.01055206]	knee	exponent
MEG1631	3.666840307796204	[-0.03894583 -0.02837695]	knee	exponent
MEG1641	3.347558273507425	[-0.05136307 -0.03537502]	knee	exponent
MEG1711	1.5588556815968593	[-0.06035287 -0.06401172]	knee	exponent
MEG1721	2.2839583119018863	[-0.06079789 -0.04522812]	knee	exponent
MEG1731	2.371090948672987	[-0.04348434 -0.06300815]	knee	exponent
MEG1741	1.5006392523455836	[-0.03839313 -0.08072242]	knee	exponent
MEG1811	3.911233784069753	[-0.03430783 -0.00736205]	knee	exponent
MEG1821	3.711816322853659	[-0.02058443 -0.00592537]	knee	exponent
