freqs,aperiodic_fixed,aperiodic_knee,total_fixed,units
2.0,1.135869378905273e-09,9.447647335663664e-10,1.1896574974998278e-09,V²/Hz
2.5,1.5175855945527346e-09,1.156820807523975e-09,1.636575554968411e-09,V²/Hz
3.0,1.6598945430799182e-09,1.1129337685120705e-09,2.136657925531885e-09,V²/Hz
3.5,1.5019887616074236e-09,1.0207366876342892e-09,2.6430838585830493e-09,V²/Hz
4.0,1.038090074396028e-09,8.87306287861013e-10,2.1900903110698268e-09,V²/Hz
4.5,8.479019948971655e-10,8.614194939649299e-10,1.6534059586103425e-09,V²/Hz
5.0,5.152052453710832e-10,5.871817957337914e-10,8.639072386912127e-10,V²/Hz
5.5,4.771421895960565e-10,5.983939303899679e-10,8.045642605505577e-10,V²/Hz
6.0,5.50010189280248e-10,7.254527079136356e-10,1.1379213191263807e-09,V²/Hz
6.5,5.281944085872769e-10,7.560304281631468e-10,1.5450943915087055e-09,V²/Hz
7.0,4.5802611467592096e-10,7.592424094836953e-10,1.6765157447376434e-09,V²/Hz
7.5,3.918138997218462e-10,7.437160007670001e-10,1.4158532736350664e-09,V²/Hz
8.0,3.501307398118298e-10,7.446588294804504e-10,1.2170298405311275e-09,V²/Hz
8.5,3.0131206461051706e-10,6.904620929902044e-10,1.0097931222051073e-09,V²/Hz
9.0,2.8971482818111703e-10,7.196108697500642e-10,9.67636032983568e-10,V²/Hz
9.5,2.782863185668446e-10,7.49237009683827e-10,9.935173110043674e-10,V²/Hz
10.0,2.6038300093349603e-10,7.750117840508475e-10,1.023733420444666e-09,V²/Hz
10.5,2.3513614411100027e-10,7.576924460865649e-10,9.997201059047748e-10,V²/Hz
11.0,2.188628105473836e-10,7.499037474855756e-10,9.746692280092703e-10,V²/Hz
11.5,2.033369257229414e-10,7.395860397535029e-10,9.444638742963216e-10,V²/Hz
12.0,1.9062347532533053e-10,7.429738634112776e-10,9.284397349836824e-10,V²/Hz
12.5,1.8531946295987258e-10,7.655870762262648e-10,9.453501845989009e-10,V²/Hz
13.0,1.740655149761822e-10,7.654937453189118e-10,9.431147346466437e-10,V²/Hz
13.5,1.6276416657010043e-10,7.531869358005401e-10,9.259900262684189e-10,V²/Hz
14.0,1.533827392437098e-10,7.353896509507705e-10,9.070560059175329e-10,V²/Hz
14.5,1.4474133412590068e-10,7.13061644994509e-10,8.763384829526289e-10,V²/Hz
15.0,1.383023020338321e-10,6.942165947288444e-10,8.465977538416981e-10,V²/Hz
15.5,1.3542912141327085e-10,6.838556466548624e-10,8.271732291951532e-10,V²/Hz
16.0,1.308123111018104e-10,6.686453805330109e-10,7.998663459059237e-10,V²/Hz
16.5,1.2487779212001052e-10,6.461698735918617e-10,7.660705961635155e-10,V²/Hz
17.0,1.199953962710815e-10,6.29811190491104e-10,7.393724551128943e-10,V²/Hz
17.5,1.1381382929487658e-10,6.072901744249083e-10,7.050129270524112e-10,V²/Hz
18.0,1.074504863001147e-10,5.832570994369903e-10,6.694109876325691e-10,V²/Hz
18.5,1.0503920974592243e-10,5.736081792134097e-10,6.492594513838198e-10,V²/Hz
19.0,9.966566078625278e-11,5.482074917327185e-10,6.136780269426181e-10,V²/Hz
19.5,9.69663727130328e-11,5.323514453049576e-10,5.879632096534046e-10,V²/Hz
20.0,9.333657484450935e-11,5.085029788585981e-10,5.560786905939224e-10,V²/Hz
20.5,9.034960541299188e-11,4.813509030839655e-10,5.213407762090248e-10,V²/Hz
21.0,8.71222300324778e-11,4.5525537890589134e-10,4.88939891084882e-10,V²/Hz
21.5,8.566668943699664e-11,4.2807566700771263e-10,4.5650393819295023e-10,V²/Hz
22.0,8.236248996316931e-11,3.947313978413531e-10,4.183692278985827e-10,V²/Hz
22.5,8.055201162629732e-11,3.680891173623424e-10,3.882890849340908e-10,V²/Hz
23.0,7.890485231535907e-11,3.4368739884927987e-10,3.6120869959762294e-10,V²/Hz
23.5,7.727153146890365e-11,3.2134456350853795e-10,3.3675825420167756e-10,V²/Hz
24.0,7.554988435851303e-11,3.0072024616719964e-10,3.1441091658347494e-10,V²/Hz
24.5,7.381579636231585e-11,2.8127647555500246e-10,2.933366754635475e-10,V²/Hz
25.0,7.062739526774484e-11,2.5861286207543573e-10,2.6931993607719396e-10,V²/Hz
25.5,6.86611436050221e-11,2.4003351442191143e-10,2.497105281747262e-10,V²/Hz
26.0,6.614455254341878e-11,2.2107756682313798e-10,2.2962814580543038e-10,V²/Hz
26.5,6.376959513563651e-11,2.009240401353775e-10,2.0881253955602814e-10,V²/Hz
27.0,6.216356483624851e-11,1.8398545409224543e-10,1.908741281143475e-10,V²/Hz
27.5,6.037853086714469e-11,1.6591500357414477e-10,1.7222069904773514e-10,V²/Hz
28.0,5.935343431342357e-11,1.5045765306049885e-10,1.5605421705494068e-10,V²/Hz
28.5,5.92044168651688e-11,1.3730956120490074e-10,1.4225865858486903e-10,V²/Hz
29.0,5.831983152202666e-11,1.2362532955664954e-10,1.280392834638029e-10,V²/Hz
29.5,5.8186399620352686e-11,1.1243136944068341e-10,1.1626552480776169e-10,V²/Hz
30.0,5.797413439836989e-11,1.0225752971351975e-10,1.0568063503185469e-10,V²/Hz
30.5,5.7283770006771107e-11,9.285265377360284e-11,9.575162149797554e-11,V²/Hz
