Channel	Mean_Value	Positions
MEG0111	0.37853524213178996	[-0.07917783  0.05162778]
MEG0121	0.39512014592987665	[-0.06353137  0.05796916]
MEG0131	0.48447926902479316	[-0.07306393  0.03320063]
MEG0141	0.4103689685454852	[-0.08729516  0.01997238]
MEG0211	0.5458897076606734	[-0.06012539  0.03112813]
MEG0221	0.5051880813146986	[-0.04653875  0.03178404]
MEG0231	0.6031150680860446	[-0.04972915  0.00958023]
MEG0241	0.6695702031973229	[-0.06316712  0.00639842]
MEG0311	0.3453822138326578	[-0.04109149  0.06914696]
MEG0321	0.3864686306832934	[-0.03907986  0.05081755]
MEG0331	0.4034073555703585	[-0.02737453  0.04594114]
MEG0341	0.43093703811312634	[-0.05229797  0.05245499]
MEG0411	0.5012171088483385	[-0.0333981  0.0293631]
MEG0421	0.4879222761451628	[-0.01990452  0.02729548]
MEG0431	0.5883759201080465	[-0.02086283  0.0097443 ]
MEG0441	0.6150372415981845	[-0.03546709  0.01030442]
MEG0511	0.32010899811719395	[-0.02758016  0.07916023]
MEG0521	0.2713987576698763	[-0.01358655  0.08438625]
MEG0531	0.30672291430062226	[-0.01257771  0.07149513]
MEG0541	0.34892860365993633	[-0.02687684  0.06468805]
MEG0611	0.3507745674156071	[-0.01276617  0.05754249]
MEG0621	0.3754818813731482	[0.0006164  0.04393205]
MEG0631	0.4716271513740208	[-0.00632393  0.02822979]
MEG0641	0.4099775749461916	[-0.01323791  0.04314503]
MEG0711	0.5504186380418803	[-0.0064962   0.01196878]
MEG0721	0.5372071209267719	[0.00773153 0.01181875]
MEG0731	0.6257042668588678	[ 0.00781366 -0.00338581]
MEG0741	0.660521047303674	[-0.00669558 -0.00330056]
MEG0811	0.2547321211497318	[0.00062186 0.08612124]
MEG0821	0.28246066235392603	[0.00061835 0.07316222]
MEG0911	0.26625775536733254	[0.01474287 0.08443054]
MEG0921	0.29515657219279584	[0.02885861 0.0791216 ]
MEG0931	0.3385165391918979	[0.02805091 0.06472083]
MEG0941	0.2962035093913782	[0.01378827 0.07155717]
MEG1011	0.3359292622336521	[0.00061659 0.05944545]
MEG1021	0.3495541865630636	[0.01388913 0.05755029]
MEG1031	0.4008535694735547	[0.01431151 0.04316669]
MEG1041	0.4654116506038371	[0.00760238 0.02834821]
MEG1111	0.49606972736202437	[0.02098397 0.02724378]
MEG1121	0.5000469633367323	[0.03451189 0.02930652]
MEG1131	0.6307909456116515	[0.03654966 0.01013508]
MEG1141	0.6019845902644341	[0.02196725 0.00989824]
MEG1211	0.3443726546064634	[0.04244096 0.06909526]
MEG1221	0.4023879214225757	[0.05372723 0.05225033]
MEG1231	0.40774934471544216	[0.04023833 0.05081755]
MEG1241	0.4161297206019135	[0.02844266 0.04597879]
MEG1311	0.4823370788368923	[0.04769741 0.03178404]
MEG1321	0.5161871850091503	[0.0612423  0.03096366]
MEG1331	0.6436647003135985	[0.0644842  0.00620137]
MEG1341	0.6227775869564522	[0.05083689 0.00958023]
MEG1411	0.37272181336563726	[0.06480572 0.05806164]
MEG1421	0.4018631705445678	[0.08000014 0.05216156]
MEG1431	0.39815888035996166	[0.08829072 0.02027243]
MEG1441	0.4700088674544921	[0.07406944 0.03305723]
MEG1511	0.5158926117919298	[-0.07677971  0.00396636]
MEG1521	0.587782505727583	[-0.0722295  -0.02191305]
MEG1531	0.4520539873934065	[-0.07723721 -0.04034606]
MEG1541	0.41326283704140754	[-0.08653078 -0.01192436]
MEG1611	0.7234076990471942	[-0.06048944 -0.0155424 ]
MEG1621	0.7249664503256482	[-0.04770776 -0.01055206]
MEG1631	0.8078563251248337	[-0.03894583 -0.02837695]
MEG1641	0.8084476575565619	[-0.05136307 -0.03537502]
MEG1711	0.4832833226943984	[-0.06035287 -0.06401172]
MEG1721	0.6277840258379911	[-0.06079789 -0.04522812]
MEG1731	0.6947933727165949	[-0.04348434 -0.06300815]
MEG1741	0.5463898541449593	[-0.03839313 -0.08072242]
MEG1811	0.7034638687290514	[-0.03430783 -0.00736205]
