Channel	Mean_Value	Positions
MEG0111	0.22580469330296857	[-0.07917783  0.05162778]
MEG0121	0.27096552242156535	[-0.06353137  0.05796916]
MEG0131	0.2840493530949029	[-0.07306393  0.03320063]
MEG0141	0.22624804169870788	[-0.08729516  0.01997238]
MEG0211	0.383311609542058	[-0.06012539  0.03112813]
MEG0221	0.4718811909182622	[-0.04653875  0.03178404]
MEG0231	0.46095832030520834	[-0.04972915  0.00958023]
MEG0241	0.3528247860384038	[-0.06316712  0.00639842]
MEG0311	0.31281361795445456	[-0.04109149  0.06914696]
MEG0321	0.42219700708530267	[-0.03907986  0.05081755]
MEG0331	0.43228455871894367	[-0.02737453  0.04594114]
MEG0341	0.36141204526193216	[-0.05229797  0.05245499]
MEG0411	0.5009210297160618	[-0.0333981  0.0293631]
MEG0421	0.5151516676697481	[-0.01990452  0.02729548]
MEG0431	0.5444997715062188	[-0.02086283  0.0097443 ]
MEG0441	0.5184520688410094	[-0.03546709  0.01030442]
MEG0511	0.26934438030046004	[-0.02758016  0.07916023]
MEG0521	0.2436921963137643	[-0.01358655  0.08438625]
MEG0531	0.30383966413805436	[-0.01257771  0.07149513]
MEG0541	0.3422490518592817	[-0.02687684  0.06468805]
MEG0611	0.390865885055262	[-0.01276617  0.05754249]
MEG0621	0.4328230867471636	[0.0006164  0.04393205]
MEG0631	0.4968585127012909	[-0.00632393  0.02822979]
MEG0641	0.45406929483358277	[-0.01323791  0.04314503]
MEG0711	0.5242414487651129	[-0.0064962   0.01196878]
MEG0721	0.5119949180525456	[0.00773153 0.01181875]
MEG0731	0.4698691191162939	[ 0.00781366 -0.00338581]
MEG0741	0.46926889006194467	[-0.00669558 -0.00330056]
MEG0811	0.23762450686413988	[0.00062186 0.08612124]
MEG0821	0.2999475774607597	[0.00061835 0.07316222]
MEG0911	0.2505209864632641	[0.01474287 0.08443054]
MEG0921	0.27683262726337815	[0.02885861 0.0791216 ]
MEG0931	0.34698421818872344	[0.02805091 0.06472083]
MEG0941	0.3125467440386507	[0.01378827 0.07155717]
MEG1011	0.36600109469804953	[0.00061659 0.05944545]
MEG1021	0.3901557790700354	[0.01388913 0.05755029]
MEG1031	0.4562670435328635	[0.01431151 0.04316669]
MEG1041	0.5144346687094699	[0.00760238 0.02834821]
