Channel	Mean_Value	Positions
MEG0111	0.5958458209412146	[-0.07917783  0.05162778]
MEG0121	0.5636078847860198	[-0.06353137  0.05796916]
MEG0131	0.6960011361087838	[-0.07306393  0.03320063]
MEG0141	0.6317617697686355	[-0.08729516  0.01997238]
MEG0211	0.7232332901811985	[-0.06012539  0.03112813]
MEG0221	0.6407937070691709	[-0.04653875  0.03178404]
MEG0231	0.7712174369921001	[-0.04972915  0.00958023]
MEG0241	0.8361286193849067	[-0.06316712  0.00639842]
MEG0311	0.4688055175154598	[-0.04109149  0.06914696]
MEG0321	0.5178682791027551	[-0.03907986  0.05081755]
MEG0331	0.48987266575007843	[-0.02737453  0.04594114]
MEG0341	0.5748384535935563	[-0.05229797  0.05245499]
MEG0411	0.5746849320637111	[-0.0333981  0.0293631]
MEG0421	0.5412053646006026	[-0.01990452  0.02729548]
MEG0431	0.634031782398595	[-0.02086283  0.0097443 ]
MEG0441	0.6876031473169643	[-0.03546709  0.01030442]
MEG0511	0.40138394568072444	[-0.02758016  0.07916023]
MEG0521	0.36818859616152305	[-0.01358655  0.08438625]
MEG0531	0.4061586090065717	[-0.01257771  0.07149513]
MEG0541	0.45729586581904297	[-0.02687684  0.06468805]
MEG0611	0.4390509360006237	[-0.01276617  0.05754249]
MEG0621	0.4659296939752636	[0.0006164  0.04393205]
MEG0631	0.5174481615614422	[-0.00632393  0.02822979]
MEG0641	0.47682618931406	[-0.01323791  0.04314503]
MEG0711	0.6289741649755847	[-0.0064962   0.01196878]
MEG0721	0.6054963583833051	[0.00773153 0.01181875]
MEG0731	0.7654003060739815	[ 0.00781366 -0.00338581]
MEG0741	0.7532019493790958	[-0.00669558 -0.00330056]
MEG0811	0.35738756634400815	[0.00062186 0.08612124]
MEG0821	0.3863396465440353	[0.00061835 0.07316222]
MEG0911	0.3632716863046527	[0.01474287 0.08443054]
MEG0921	0.41235012540084637	[0.02885861 0.0791216 ]
MEG0931	0.44727249390960017	[0.02805091 0.06472083]
MEG0941	0.396683299480647	[0.01378827 0.07155717]
MEG1011	0.4186977257722152	[0.00061659 0.05944545]
MEG1021	0.4358033844518338	[0.01388913 0.05755029]
MEG1031	0.4767771433380911	[0.01431151 0.04316669]
MEG1041	0.530534349653191	[0.00760238 0.02834821]
MEG1111	0.5400777482447315	[0.02098397 0.02724378]
MEG1121	0.572013457326616	[0.03451189 0.02930652]
MEG1131	0.7033703585986757	[0.03654966 0.01013508]
MEG1141	0.6533267348126415	[0.02196725 0.00989824]
MEG1211	0.46717245438146116	[0.04244096 0.06909526]
MEG1221	0.5714467885202408	[0.05372723 0.05225033]
MEG1231	0.5033254305979193	[0.04023833 0.05081755]
MEG1241	0.494208164297497	[0.02844266 0.04597879]
MEG1311	0.6213612712775132	[0.04769741 0.03178404]
MEG1321	0.7110535297701729	[0.0612423  0.03096366]
MEG1331	0.860193757998979	[0.0644842  0.00620137]
MEG1341	0.7809521813280164	[0.05083689 0.00958023]
MEG1411	0.5428722069610832	[0.06480572 0.05806164]
MEG1421	0.5806645764636642	[0.08000014 0.05216156]
MEG1431	0.6225338099321357	[0.08829072 0.02027243]
