Channel	Mean_Value	Positions
MEG0111	0.27619748678725525	[-0.07917783  0.05162778]
MEG0121	0.2986280957571367	[-0.06353137  0.05796916]
MEG0131	0.3717779323599973	[-0.07306393  0.03320063]
MEG0141	0.2906805135353939	[-0.08729516  0.01997238]
MEG0211	0.44997460698121866	[-0.06012539  0.03112813]
MEG0221	0.4657379663486575	[-0.04653875  0.03178404]
MEG0231	0.5620551786943006	[-0.04972915  0.00958023]
MEG0241	0.5150867827482345	[-0.06316712  0.00639842]
MEG0311	0.3037419203929842	[-0.04109149  0.06914696]
MEG0321	0.3818828823436359	[-0.03907986  0.05081755]
MEG0331	0.3892732186826511	[-0.02737453  0.04594114]
MEG0341	0.3677858739643167	[-0.05229797  0.05245499]
MEG0411	0.47476345078067816	[-0.0333981  0.0293631]
MEG0421	0.4808902377629411	[-0.01990452  0.02729548]
MEG0431	0.5653695709126981	[-0.02086283  0.0097443 ]
MEG0441	0.5752297983479916	[-0.03546709  0.01030442]
MEG0511	0.2479818166740182	[-0.02758016  0.07916023]
MEG0521	0.2191413270258429	[-0.01358655  0.08438625]
MEG0531	0.2623911633126343	[-0.01257771  0.07149513]
MEG0541	0.3115374191202393	[-0.02687684  0.06468805]
MEG0611	0.3200262738710634	[-0.01276617  0.05754249]
MEG0621	0.36009838832869967	[0.0006164  0.04393205]
MEG0631	0.43325465285192566	[-0.00632393  0.02822979]
MEG0641	0.3726120579266222	[-0.01323791  0.04314503]
MEG0711	0.49882610183652054	[-0.0064962   0.01196878]
MEG0721	0.48586614992492166	[0.00773153 0.01181875]
MEG0731	0.535217296882396	[ 0.00781366 -0.00338581]
MEG0741	0.5414824341595502	[-0.00669558 -0.00330056]
MEG0811	0.21343359771929496	[0.00062186 0.08612124]
MEG0821	0.26057517240174827	[0.00061835 0.07316222]
MEG0911	0.21889666674277164	[0.01474287 0.08443054]
MEG0921	0.24230528707543408	[0.02885861 0.0791216 ]
MEG0931	0.30290580780578463	[0.02805091 0.06472083]
MEG0941	0.26715665483862816	[0.01378827 0.07155717]
MEG1011	0.30150612128425897	[0.00061659 0.05944545]
MEG1021	0.3146200046416699	[0.01388913 0.05755029]
MEG1031	0.3780860847052231	[0.01431151 0.04316669]
MEG1041	0.430753517916519	[0.00760238 0.02834821]
MEG1111	0.49519018343156423	[0.02098397 0.02724378]
MEG1121	0.4864020077878366	[0.03451189 0.02930652]
MEG1131	0.6063068817436861	[0.03654966 0.01013508]
MEG1141	0.575007110684627	[0.02196725 0.00989824]
MEG1211	0.2888759974683544	[0.04244096 0.06909526]
MEG1221	0.36194361543247305	[0.05372723 0.05225033]
MEG1231	0.38174847495022596	[0.04023833 0.05081755]
MEG1241	0.3960587629844797	[0.02844266 0.04597879]
MEG1311	0.4720650844326039	[0.04769741 0.03178404]
MEG1321	0.4398066031947859	[0.0612423  0.03096366]
