freqs	phase_2_spectrum	phase_5_spectrum	spectra_sem	chan_units
1.0	7.372637421821654e-25	4.240089010629734e-25	1.815660189313815e-26	(T/m)²/Hz
1.5	3.4572214455771153e-25	2.656818187024336e-25	9.574700206201249e-27	(T/m)²/Hz
2.0	2.1536363778461602e-25	1.9601721547491465e-25	6.703547305861917e-27	(T/m)²/Hz
2.5	1.578038299063157e-25	1.5389632463734642e-25	5.25150895572052e-27	(T/m)²/Hz
3.0	1.2706239455249932e-25	1.2858279672036315e-25	4.2772284762145464e-27	(T/m)²/Hz
3.5	1.0665125485599034e-25	1.116765177552768e-25	3.7246121816634825e-27	(T/m)²/Hz
4.0	9.292849388042175e-26	9.945187219001661e-26	3.290392446059919e-27	(T/m)²/Hz
4.5	8.365177487839509e-26	9.259301486539551e-26	2.86555048126058e-27	(T/m)²/Hz
5.0	7.616870513711607e-26	8.619624507381316e-26	2.6968190090008628e-27	(T/m)²/Hz
5.5	7.072368298692671e-26	7.946170435827079e-26	2.55336455480195e-27	(T/m)²/Hz
6.0	6.618665871388726e-26	7.55994984206224e-26	2.4077883460227805e-27	(T/m)²/Hz
6.5	6.224360034967287e-26	7.237233085377639e-26	2.352614122165901e-27	(T/m)²/Hz
7.0	5.964417100346591e-26	6.902378342800727e-26	2.2461266144518897e-27	(T/m)²/Hz
7.5	5.691908885409538e-26	6.680877449639593e-26	2.1311009021725146e-27	(T/m)²/Hz
8.0	5.444427707904629e-26	6.620418903927956e-26	2.0389156784576113e-27	(T/m)²/Hz
8.5	5.201820478265291e-26	6.572794130403009e-26	2.0872179422050326e-27	(T/m)²/Hz
9.0	5.0535703798341964e-26	6.499957113494829e-26	2.316779267611326e-27	(T/m)²/Hz
9.5	4.9012813987640754e-26	6.411716902065248e-26	2.4066932728292665e-27	(T/m)²/Hz
10.0	4.750564586669969e-26	6.231980917834999e-26	2.36033888484359e-27	(T/m)²/Hz
10.5	4.61571671555186e-26	6.036829210245669e-26	2.1879408844241516e-27	(T/m)²/Hz
11.0	4.525187977413805e-26	5.814442214490433e-26	2.0233600421471407e-27	(T/m)²/Hz
11.5	4.4271173504663693e-26	5.678614855459497e-26	1.6665190440621344e-27	(T/m)²/Hz
12.0	4.3394037535509686e-26	5.563254090771589e-26	1.5229451556195276e-27	(T/m)²/Hz
12.5	4.27341460403363e-26	5.845508305490482e-26	1.622423863398267e-27	(T/m)²/Hz
13.0	4.236045557814535e-26	6.07619261170889e-26	2.1700874680259128e-27	(T/m)²/Hz
13.5	4.2008759580697743e-26	5.927182918929468e-26	2.3676362725944034e-27	(T/m)²/Hz
14.0	4.1398740387707497e-26	5.771767337845785e-26	1.9246387284519053e-27	(T/m)²/Hz
14.5	4.2777206340175897e-26	5.799679749599663e-26	1.7799877367917266e-27	(T/m)²/Hz
15.0	4.545174274290673e-26	5.557976879207254e-26	1.65940521460189e-27	(T/m)²/Hz
15.5	4.320111776461508e-26	5.0000772141016783e-26	1.3848471369734813e-27	(T/m)²/Hz
16.0	4.081966494681525e-26	4.6348733229428064e-26	1.2717248883669114e-27	(T/m)²/Hz
16.5	3.899678695235648e-26	4.489426174293875e-26	1.2171210553136308e-27	(T/m)²/Hz
17.0	3.780280586628993e-26	4.520975986887723e-26	1.2781255648566225e-27	(T/m)²/Hz
17.5	3.713328680989514e-26	4.5650646191192237e-26	1.2320199768690052e-27	(T/m)²/Hz
18.0	3.68743151498113e-26	4.250464837057938e-26	1.162269287397694e-27	(T/m)²/Hz
18.5	3.663037159418592e-26	4.0875798677953457e-26	1.1779910188294069e-27	(T/m)²/Hz
19.0	3.631558100968717e-26	4.0607002572630735e-26	1.1776663066197334e-27	(T/m)²/Hz
19.5	3.673835082725012e-26	4.2201056767967996e-26	1.1736798469191676e-27	(T/m)²/Hz
20.0	3.71591365052228e-26	4.286542386847933e-26	1.1542079705866402e-27	(T/m)²/Hz
20.5	3.677770958361136e-26	3.98952810312182e-26	1.167345296125757e-27	(T/m)²/Hz
21.0	3.6507147808220086e-26	3.871373018579545e-26	1.0814975066464607e-27	(T/m)²/Hz
21.5	3.6305345578300463e-26	3.794918414177219e-26	1.0214990333062122e-27	(T/m)²/Hz
22.0	3.614238206707524e-26	3.816634461375233e-26	1.0510413489568153e-27	(T/m)²/Hz
22.5	3.617070309316249e-26	3.8027269484640903e-26	1.0514383171872123e-27	(T/m)²/Hz
23.0	3.6283696440060935e-26	3.795702189565091e-26	1.0623506099213663e-27	(T/m)²/Hz
23.5	3.6483085288332357e-26	3.795210479057625e-26	1.0858943445633354e-27	(T/m)²/Hz
24.0	3.684559210083238e-26	3.8141766226080455e-26	1.1415600679943801e-27	(T/m)²/Hz
24.5	3.9868458582791e-26	3.678648160496688e-26	1.3475416572843327e-27	(T/m)²/Hz
25.0	4.149948899786993e-26	3.6158520656831133e-26	1.3332788483684365e-27	(T/m)²/Hz
25.5	4.7472818691468766e-26	3.6859403603008577e-26	1.641293546997212e-27	(T/m)²/Hz
26.0	4.1959281760229143e-26	3.751158945723151e-26	1.2947389492358517e-27	(T/m)²/Hz
26.5	3.681920482714148e-26	3.5287942827627357e-26	1.0045665947162117e-27	(T/m)²/Hz
27.0	3.754104792599285e-26	3.499008935480403e-26	1.120317554865626e-27	(T/m)²/Hz
27.5	4.038651881935002e-26	3.478507709677214e-26	1.5190620458697333e-27	(T/m)²/Hz
28.0	4.1107606124179503e-26	3.4666290438363426e-26	1.6540352591281436e-27	(T/m)²/Hz
28.5	3.7691489135793095e-26	3.5258935856787866e-26	1.16520700527103e-27	(T/m)²/Hz
29.0	3.4341565797876174e-26	3.483882824990733e-26	1.0187996086302679e-27	(T/m)²/Hz
29.5	3.381772812872784e-26	3.412796590510811e-26	9.942102861385374e-28	(T/m)²/Hz
30.0	3.402733475884682e-26	3.3786725215314787e-26	1.0066078889148385e-27	(T/m)²/Hz
30.5	3.4817190411775676e-26	3.366925701134806e-26	1.1667469587981635e-27	(T/m)²/Hz
