Parameter	Effect	basic_main_Estimate	basic_main_SE	basic_main_T-stat	basic_main_DF	basic_main_P-val	basic_main_P-corrected	onecov_emptyroom_Estimate	onecov_emptyroom_SE	onecov_emptyroom_T-stat	onecov_emptyroom_DF	onecov_emptyroom_P-val	onecov_emptyroom_P-corrected	onecov_ecg_Estimate	onecov_ecg_SE	onecov_ecg_T-stat	onecov_ecg_DF	onecov_ecg_P-val	onecov_ecg_P-corrected	sixcov_Estimate	sixcov_SE	sixcov_T-stat	sixcov_DF	sixcov_P-val	sixcov_P-corrected	control_ignorepeaks_Estimate	control_ignorepeaks_SE	control_ignorepeaks_T-stat	control_ignorepeaks_DF	control_ignorepeaks_P-val	control_ignorepeaks_P-corrected	control_nointerpol_Estimate	control_nointerpol_SE	control_nointerpol_T-stat	control_nointerpol_DF	control_nointerpol_P-val	control_nointerpol_P-corrected	control_cardiacMEGonly_Estimate	control_cardiacMEGonly_SE	control_cardiacMEGonly_T-stat	control_cardiacMEGonly_DF	control_cardiacMEGonly_P-val	control_cardiacMEGonly_P-corrected	control_withcardiac_Estimate	control_withcardiac_SE	control_withcardiac_T-stat	control_withcardiac_DF	control_withcardiac_P-val	control_withcardiac_P-corrected	control_ECGchannel_Estimate	control_ECGchannel_SE	control_ECGchannel_T-stat	control_ECGchannel_DF	control_ECGchannel_P-val	control_ECGchannel_P-corrected	control_emptyroom_Estimate	control_emptyroom_SE	control_emptyroom_T-stat	control_emptyroom_DF	control_emptyroom_P-val	control_emptyroom_P-corrected
exponent	Age0	-0.0011296413451213	0.0009129498388525	-1.2373531349117608	131.15891514306082	0.2181666781386291	0.942	-0.0063302795033278	0.0055281845721236	-1.145091923169285	131.48888992239677	0.2542510645172388	0.9657	-0.0056916420624956	0.0055746000711097	-1.0209955853142665	134.57028738505653	0.3090885144050874	0.9874	-0.0013108307682776	0.0008957342544412	-1.463414803864323	128.99015979305432	0.1457864863541624	0.8361	-0.0011296413451213	0.0009129498388525	-1.2373531349117608	131.15891514306082	0.2181666781386291	0.9294	-0.0011325638592084	0.0009132748724646	-1.2401127999416346	131.15864443361883	0.2171476844707474	0.9402	0.0015189779209777	0.0014122343394398	1.075584893071122	119.27861151775834	0.2842837612517408	0.9255	-0.0010950752242425	0.0009027438984553	-1.2130519254865286	131.12936976424302	0.2272906670840661	0.9474	-0.0305898607032203	0.0105282014921896	-2.905516267513818	131.2737525447411	0.0043043592392441	0.0087	0.0003703460835937	0.0001548507264847	2.391632845391622	132.12369438040233	0.0181824955362752	0.1815
exponent	deltaAge	-0.0011302611990214	0.0009825486621975	-1.1503361029401906	131.9387938003374	0.2520861451275468	0.9735	-0.0055927723601269	0.0059785396702875	-0.9354746591249103	131.6728987605155	0.3512562212705958	0.9955	-0.0061316637702717	0.0058922200711048	-1.0406372634215	132.24241736174596	0.299942753609251	0.9875	-0.0001501339131319	0.0011117506470414	-0.1350427935720407	135.0349342959364	0.8927791263804477	1.0	-0.0011302611990214	0.0009825486621975	-1.1503361029401906	131.9387938003374	0.2520861451275468	0.9641	-0.0011527762069415	0.0009828879360094	-1.1728460231404882	131.9385063587046	0.2429707090260863	0.9687	-0.0026141148790387	0.0019787820199023	-1.321072686504279	102.00350920684424	0.1894330297299318	0.8255	-0.0013344245660324	0.0009105530080849	-1.4655100298213497	131.81438363299097	0.1451631248397616	0.8574	-0.0184453379026129	0.0130923931538573	-1.4088591509473964	132.31490295385936	0.1612225086713208	0.4099	0.0009584328210225	0.0003997388095834	2.3976476590333538	136.60138232868795	0.0178527828928961	0.214
exponent	Age0:deltaAge	0.0002018031768517	6.943506675279046e-05	2.9063582176743763	132.36475997092458	0.0042880430251177	0.0597	0.0011930043449038	0.0004146685427827	2.8770071076475947	130.56999228385703	0.0046909694886875	0.0651	0.0012447065822769	0.0004155491791352	2.9953291806934024	132.09659415532835	0.0032745226980431	0.0471	0.0002027682019504	7.000272477603815e-05	2.896575848999425	126.9738380882825	0.004444078030357	0.063	0.0002018031768517	6.943506675279046e-05	2.9063582176743763	132.36475997092458	0.0042880430251177	0.0554	0.0002010313911584	6.945904386965591e-05	2.8942435708689187	132.36446335584412	0.0044465975033127	0.0638	-4.434121404593198e-05	0.0001408468914376	-0.3148185493717388	103.4041900171301	0.7535338060062243	1.0	0.0001849519486242	6.435358908327692e-05	2.873995860353505	132.1882726720704	0.0047245582467315	0.0679	-0.0009629992835171	0.0009249665586536	-1.0411179458410516	132.88467925548366	0.2997113095895331	0.6587	-1.586248219453281e-05	2.814014929082466e-05	-0.5636957370267012	139.11210228721484	0.573868785736885	1.0
theta_band_power	Age0	0.0040385471320457	0.0010780759705556	3.7460691475799193	131.16289018382645	0.0002680190403895	0.003	0.0194564892610275	0.0053044363537139	3.667965446961183	130.47930404969196	0.0003548613590001	0.0042	0.0199482295115096	0.0053679118284958	3.7161991755552455	130.2940530831836	0.0002990512187791	0.0033	0.003932425579277	0.0010880255040972	3.6142770224304313	130.64462359222833	0.0004285869075017	0.0051	0.0040385471320457	0.0010780759705556	3.7460691475799193	131.16289018382645	0.0002680190403895	0.003	0.0040988437183072	0.001081943568516	3.7884080441728782	131.16577666592778	0.000230022165177	0.0024	5.342587558726569e-05	0.0008425265034627	0.0634115073741748	118.25618887254298	0.9495458844554884	1.0	0.0035836836892666	0.0010318872639471	3.4729410997461505	131.15446127353474	0.0006978520328365	0.0085	-0.0002543903739272	0.0006767108789106	-0.3759218033213233	127.02942903057716	0.7076020919042163	0.9732	-2.167065425627214e-05	8.081549787965685e-05	-0.2681497339599655	132.1695016017595	0.7890021175126151	1.0
theta_band_power	deltaAge	0.003294344790201	0.0010639244441258	3.096408592160575	131.81864670431816	0.0023935034908261	0.0376	0.0144166983699021	0.0055097907864232	2.616560034443886	137.14860593833995	0.0098779729915027	0.1418	0.0152720121656911	0.0052813256743897	2.891700513707834	132.0210200543674	0.0044823090985727	0.0681	0.0031077241601345	0.0011971486138504	2.595938485982011	135.1319926172722	0.0104762666591241	0.1465	0.003294344790201	0.0010639244441258	3.096408592160575	131.81864670431816	0.0023935034908261	0.0343	0.0035730108268755	0.0010774368330288	3.316213737404329	131.83349476756206	0.0011790532638262	0.0197	-0.0023448216364598	0.0012657348030928	-1.852537854478056	98.08799473446533	0.0669555644873031	0.4517	0.0024851691251444	0.0009763799119498	2.545289077262501	131.75729460061356	0.0120710686778867	0.166	-0.0002596490863121	0.0010687899872088	-0.2429374240212121	126.7750581005249	0.8084464977651991	0.993	-0.000972559307757	0.000211347933769	-4.601697733273547	136.76450891898554	9.462242374220453e-06	0.0001
theta_band_power	Age0:deltaAge	6.339588532157385e-05	7.519544092021474e-05	0.8430815026251303	132.17648717924914	0.4007059414969395	0.9986	0.0002716278367397	0.0003765069144585	0.7214418283138337	130.95084597278603	0.4719238553665572	0.9998	0.0003471043557789	0.0003701338374989	0.937780663676734	131.42202962005405	0.3500773540334497	0.9956	4.94424724518893e-05	7.511759090917668e-05	0.6582009866592939	128.4812702687893	0.5115866615461844	1.0	6.339588532157385e-05	7.519544092021474e-05	0.8430815026251303	132.17648717924914	0.4007059414969395	0.9975	7.158368549745494e-05	7.614951667838555e-05	0.9400412323007352	132.19789524963866	0.3489108934734605	0.9943	-0.0002286161695787	9.07896757301126e-05	-2.518085539355724	100.63208443830224	0.0133760250274917	0.117	4.786645761810074e-05	6.90118079526264e-05	0.6935980818088258	132.08612472233702	0.489152226377925	0.9999	-5.8464684824961816e-05	7.480864328134135e-05	-0.7815231270147093	126.42883202125336	0.4359559487843181	0.8162	8.553530365406763e-07	1.4876289778613272e-05	0.057497739642741	139.34302307220105	0.9542310762470708	1.0
theta_peak_freq	Age0	0.003091513123399	0.0031209001239364	0.990583806155148	131.29275629310757	0.3237109412512358	0.9901	0.003091513123399	0.0031209001239364	0.990583806155148	131.29275629310757	0.3237109412512358	0.9904	0.003091513123399	0.0031209001239364	0.990583806155148	131.29275629310757	0.3237109412512358	0.9902	0.0036511374706254	0.0031982422707562	1.1416075336162854	131.49807950353144	0.2556918047351708	0.9672	0.003091513123399	0.0031209001239364	0.990583806155148	131.29275629310757	0.3237109412512358	0.9867	0.003574957156446	0.0031242572682568	1.1442582506787888	131.26221910100662	0.2545988707724739	0.9686	0.0015036929950896	0.005564718129747	0.2702190766952578	126.6170609527662	0.7874316619745851	1.0	0.0017002657560799	0.0031283444014109	0.5435033800348513	131.25599255921378	0.5877051661078132	1.0	-0.0010461902868978	0.005516282311907	-0.1896549574048549	128.96639775011926	0.8498776915519387	0.9967	0.0012189692844303	0.0012122099145896	1.0055760720642508	261.9999999967119	0.3155473366676567	0.9857
theta_peak_freq	deltaAge	-0.0009651327189061	0.0048167871126998	-0.2003685644236715	132.8962452526474	0.8414986447344602	1.0	-0.0009651327189061	0.0048167871126998	-0.2003685644236715	132.8962452526474	0.8414986447344602	1.0	-0.0009651327189061	0.0048167871126998	-0.2003685644236715	132.8962452526474	0.8414986447344602	1.0	-0.0022556558583483	0.0052802622574753	-0.4271863305946501	142.32600462280044	0.6698891763032089	1.0	-0.0009651327189061	0.0048167871126998	-0.2003685644236715	132.8962452526474	0.8414986447344602	1.0	-0.0007234023679356	0.004745066518709	-0.1524535778546811	132.8150011317109	0.8790605588523034	1.0	0.0120492308923288	0.0088732718339808	1.3579242378426166	108.111309822159	0.1773150824197752	0.8036	-0.0018150108365598	0.0044908231073723	-0.4041599486695968	132.64327580123887	0.6867460049914929	1.0	-0.0057301641307841	0.0086118989026826	-0.6653775428087177	128.60743003697337	0.5070005869337724	0.8797	0.0016158108626606	0.0032407094314843	0.4985978832173535	261.99999999422926	0.6184810206567466	1.0
theta_peak_freq	Age0:deltaAge	0.0003424618278266	0.0003401031751286	1.0069351093153396	133.7774248249715	0.3157837915318521	0.9904	0.0003424618278266	0.0003401031751286	1.0069351093153396	133.7774248249715	0.3157837915318521	0.9902	0.0003424618278266	0.0003401031751286	1.0069351093153396	133.7774248249715	0.3157837915318521	0.9905	0.0002827668419456	0.0003362148307976	0.8410302462708701	130.43599557318612	0.4018701549404259	0.9984	0.0003424618278266	0.0003401031751286	1.0069351093153396	133.7774248249715	0.3157837915318521	0.9875	0.0003328260052502	0.0003350567999175	0.9933420403113764	133.66800086737388	0.3223380888006437	0.9919	0.0006944630332862	0.000635952935621	1.0920038172448394	110.88511655724386	0.2771983860169353	0.9321	0.0004268842706718	0.0003171588151569	1.34596375781188	133.40443092935254	0.180597067704662	0.9186	-0.0010867033921748	0.0006027697344573	-1.8028499608613957	128.25551360249705	0.0737597736606104	0.2138	2.6717036030516165e-05	0.0002280567177411	0.1171508399100832	261.99999999473454	0.9068302766133144	1.0
alpha_band_power	Age0	-0.0013161799842992	0.001674660128182	-0.7859385687578614	131.08842686181222	0.4333218186741447	0.9988	-0.004703090156488	0.0057244146046607	-0.8215844730496815	128.10312530256007	0.412839875929702	0.9985	-0.003617681371044	0.0057337364868292	-0.6309465702433437	132.92202906310462	0.529158859246105	0.9998	-0.0010804562462946	0.0016142964457023	-0.6693047297298312	129.95612827213156	0.5044884503178837	1.0	-0.0013161799842992	0.001674660128182	-0.7859385687578614	131.08842686181222	0.4333218186741447	0.9982	-0.0013286148071647	0.0016660002396491	-0.7974877647343821	131.08908797234224	0.4266099769546189	0.9985	-0.0013322811625972	0.0009145702221685	-1.4567292158695748	108.794589458223	0.148071260689662	0.7002	-0.001398059061426	0.0016551085656647	-0.844693266912419	131.08626781508502	0.3998211278158069	0.9978							-0.0001265381703793	0.0001922737732246	-0.6581145637137361	131.68880881071053	0.5116133677677823	0.9999
