Parameter	Effect	basic_main_Estimate	basic_main_SE	basic_main_T-stat	basic_main_DF	basic_main_P-val	basic_main_P-corrected	onecov_emptyroom_Estimate	onecov_emptyroom_SE	onecov_emptyroom_T-stat	onecov_emptyroom_DF	onecov_emptyroom_P-val	onecov_emptyroom_P-corrected	onecov_ecg_Estimate	onecov_ecg_SE	onecov_ecg_T-stat	onecov_ecg_DF	onecov_ecg_P-val	onecov_ecg_P-corrected	sixcov_Estimate	sixcov_SE	sixcov_T-stat	sixcov_DF	sixcov_P-val	sixcov_P-corrected	control_ignorepeaks_Estimate	control_ignorepeaks_SE	control_ignorepeaks_T-stat	control_ignorepeaks_DF	control_ignorepeaks_P-val	control_ignorepeaks_P-corrected	control_nointerpol_Estimate	control_nointerpol_SE	control_nointerpol_T-stat	control_nointerpol_DF	control_nointerpol_P-val	control_nointerpol_P-corrected	control_cardiacMEGonly_Estimate	control_cardiacMEGonly_SE	control_cardiacMEGonly_T-stat	control_cardiacMEGonly_DF	control_cardiacMEGonly_P-val	control_cardiacMEGonly_P-corrected	control_withcardiac_Estimate	control_withcardiac_SE	control_withcardiac_T-stat	control_withcardiac_DF	control_withcardiac_P-val	control_withcardiac_P-corrected	control_ECGchannel_Estimate	control_ECGchannel_SE	control_ECGchannel_T-stat	control_ECGchannel_DF	control_ECGchannel_P-val	control_ECGchannel_P-corrected	control_emptyroom_Estimate	control_emptyroom_SE	control_emptyroom_T-stat	control_emptyroom_DF	control_emptyroom_P-val	control_emptyroom_P-corrected
exponent	Age0	-0.001172007891873	0.0010015718142195	-1.1701686042216626	131.1515006960777	0.2440551229084313	0.9635	-0.0057134971234798	0.0055545670441584	-1.0286125053596245	132.7082760818265	0.3055329225975805	0.9875	-0.0053585544259357	0.0055960077430002	-0.957567371603176	134.59573363127734	0.3399978042136339	0.9943	-0.0013815936904514	0.000983693905691	-1.4044955269706938	129.17528908047262	0.1625713053494492	0.874	-0.001172007891873	0.0010015718142195	-1.1701686042216626	131.1515006960777	0.2440551229084313	0.9549	-0.0011641840642109	0.0010016551653751	-1.1622603311539208	131.15216474562877	0.247240354140413	0.9643	0.00151119116725	0.0014154252723804	1.0676587430918203	119.34210747076946	0.2878294299464098	0.9281	-0.0011790457901605	0.0009860023286234	-1.195783981369029	131.1140720993623	0.23393901189029	0.959	-0.0305898607032203	0.0105282014921896	-2.905516267513818	131.2737525447411	0.0043043592392441	0.0087	0.0004988921173656	0.0001701939218566	2.931315712825336	132.107822170847	0.003978848348268	0.0466
exponent	deltaAge	-0.0003775926000777	0.0010451674111983	-0.361274754677642	131.88470478160886	0.7184721581742355	1.0	-0.0028549319514191	0.0057249977851208	-0.4986782630447685	130.91258842206062	0.6188429226087837	1.0	-0.0014236390181744	0.0057409237355522	-0.247980827433431	132.2177355844616	0.8045339561122353	1.0	0.0007390359867307	0.0011800905942342	0.6262536031907459	134.75252955236715	0.5322080166253296	0.9998	-0.0003775926000777	0.0010451674111983	-0.361274754677642	131.88470478160886	0.7184721581742355	1.0	-0.000376751978715	0.0010445500379462	-0.3606835144593515	131.88438184513322	0.7189131049071595	1.0	-0.0026609170279181	0.0019781305206767	-1.3451675711508908	102.01442783984126	0.1815538158502367	0.8105	-0.0005607269775006	0.0009361411549112	-0.5989769540191139	131.7210277645141	0.5502170043456832	1.0	-0.0184453379026129	0.0130923931538573	-1.4088591509473964	132.31490295385936	0.1612225086713208	0.4099	-0.0005649608955609	0.0004381036142847	-1.2895599970871097	136.56033573514165	0.1993832526799277	0.9475
exponent	Age0:deltaAge	0.0002247111655538	7.386380650427331e-05	3.042236464496592	132.28503725790526	0.0028326718962445	0.0409	0.0012088466300165	0.0004031266105511	2.99867733455708	131.08369927176773	0.0032453363547893	0.046	0.0012684106501346	0.0004048717300064	3.132870378760535	132.05314242147034	0.0021326783744186	0.0313	0.0002267866847044	7.422766638120005e-05	3.0552851215853303	127.10696265623967	0.0027403623573832	0.0395	0.0002247111655538	7.386380650427331e-05	3.042236464496592	132.28503725790526	0.0028326718962445	0.0373	0.0002252727133475	7.382025131809488e-05	3.051638396309758	132.28417204953172	0.0027511563484916	0.0409	-3.874069803460808e-05	0.0001408030649566	-0.2751410137736874	103.40897305196016	0.7837568978498233	1.0	0.0001986352335908	6.61673976617497e-05	3.002010667039881	132.05211329360313	0.0032082280202769	0.0479	-0.0009629992835171	0.0009249665586536	-1.0411179458410516	132.88467925548366	0.2997113095895331	0.6587	-1.99784465269656e-05	3.084170614491342e-05	-0.6477737137204567	139.05652237000697	0.5181993930817013	1.0
theta_band_power	Age0	0.0044908070453486	0.0011691276931282	3.841160441022857	131.46463427579005	0.0001896345033716	0.0013	0.0199842197017655	0.0052174388376199	3.830273880293698	129.4684175399753	0.0001985693971509	0.0022	0.0199534832511399	0.0051952452596134	3.840720168930855	131.07360668345797	0.0001901717092004	0.0015	0.0044007897164677	0.001192868341373	3.689250157651308	130.27001879228675	0.0003292296888239	0.0037	0.0044908070453486	0.0011691276931282	3.841160441022857	131.46463427579005	0.0001896345033716	0.0012	0.0044931026930015	0.0011578789273004	3.880459853844296	130.81555618684254	0.000164485041563	0.0017	8.589133098441889e-05	0.0008463127322489	0.1014888795967559	119.02208332120726	0.9193331582478924	1.0	0.0038478512789077	0.0010860321118675	3.543036376973272	130.75657728326365	0.000549083332572	0.005	-0.0002543903739272	0.0006767108789106	-0.3759218033213233	127.02942903057716	0.7076020919042163	0.9732	-5.339126217386241e-05	9.468376553809174e-05	-0.5638903551251649	262.00000000005537	0.5733111012992684	1.0
theta_band_power	deltaAge	0.0038923855453632	0.0014361841636023	2.710227312074017	130.29852335448427	0.0076291828079348	0.1129	0.0173212384649843	0.0063810885836948	2.714464505201219	127.14873323657676	0.0075604359192723	0.1149	0.0166472371330975	0.0064161945452032	2.594565519454678	131.15965363489173	0.0105485116910888	0.152	0.0030485890663308	0.0015790182034507	1.9306864605288372	134.57835342666283	0.0556247909419447	0.544	0.0038923855453632	0.0014361841636023	2.710227312074017	130.29852335448427	0.0076291828079348	0.1046	0.0043433224624008	0.0013794443840054	3.148602809044849	130.37712459275008	0.0020340879122077	0.0334	-0.0022690731878578	0.0012711316853106	-1.785081132096259	97.70075855305204	0.077351479716944	0.5004	0.0033904610232375	0.0011726625145042	2.8912504504085472	131.01888267816977	0.0044935213352995	0.0695	-0.0002596490863121	0.0010687899872088	-0.2429374240212121	126.7750581005249	0.8084464977651991	0.993	-0.0011562909578851	0.0002531265982027	-4.568034201442924	261.9999999993905	7.5855972415907296e-06	0.0001
theta_band_power	Age0:deltaAge	8.531955955861964e-05	0.0001012516692632	0.8426484242625945	130.60872711773615	0.4009655439469521	0.9981	0.0003856267247222	0.0004507883467458	0.8554496306437522	127.7407969570742	0.3939039603146217	0.9983	0.0004021280885071	0.0004496473468125	0.8943188286502828	130.83474313586265	0.3727935555335139	0.9977	6.806209877262727e-05	9.981511235212156e-05	0.6818817027678336	126.23287492840096	0.4965629647283209	0.9994	8.531955955861964e-05	0.0001012516692632	0.8426484242625945	130.60872711773615	0.4009655439469521	0.9969	7.420908071561213e-05	9.718369895560004e-05	0.7635959683888525	130.80846862614777	0.4464831098525982	0.9992	-0.0002339958416867	9.135629686815371e-05	-2.561354276700407	100.54038365066737	0.0119114171392607	0.1069	7.073289776429849e-05	8.254413110641438e-05	0.8569100772665585	131.2200878904694	0.3930568287160496	0.9981	-5.8464684824961816e-05	7.480864328134135e-05	-0.7815231270147093	126.42883202125336	0.4359559487843181	0.8162	1.3787944685897991e-05	1.7813143195832552e-05	0.7740321028308879	262.0000000021229	0.4396096884780562	0.9997
theta_peak_freq	Age0	0.0041771765488872	0.0033480299016798	1.247652103343324	132.14764992585123	0.2143648782608287	0.9421	0.0041771765488872	0.0033480299016798	1.247652103343324	132.14764992585123	0.2143648782608287	0.9443	0.0041771765488872	0.0033480299016798	1.247652103343324	132.14764992585123	0.2143648782608287	0.9439	0.0050180972771691	0.0034239925999801	1.4655689609837956	131.06074855528368	0.1451607510252124	0.8408	0.0041771765488872	0.0033480299016798	1.247652103343324	132.14764992585123	0.2143648782608287	0.9287	0.0052478697038108	0.0033654149516453	1.5593529413795553	130.6851203976548	0.1213312965300963	0.7815	0.001853010450688	0.0055758824736585	0.3323259518904914	127.26862739753348	0.7401898683065962	1.0	0.0021240110777863	0.0035006538267271	0.6067469629729498	131.25695624927292	0.54506690525381	0.9999	-0.0010461902868978	0.005516282311907	-0.1896549574048549	128.96639775011926	0.8498776915519387	0.9967	0.0018734755835796	0.0017806167501157	1.0521498146402892	261.9999999953732	0.2937002374152045	0.9853
theta_peak_freq	deltaAge	0.0011370044035186	0.0059387448057818	0.1914553395882044	132.77661980531687	0.8484613342222063	1.0	0.0011370044035186	0.0059387448057818	0.1914553395882044	132.77661980531687	0.8484613342222063	1.0	0.0011370044035186	0.0059387448057818	0.1914553395882044	132.77661980531687	0.8484613342222063	1.0	-0.0037493013859857	0.0064287638383856	-0.5832072044082561	142.2543395404942	0.5606772678328912	0.9999	0.0011370044035186	0.0059387448057818	0.1914553395882044	132.77661980531687	0.8484613342222063	1.0	0.0012208159183963	0.0058714081139432	0.2079255767448926	131.8550897114736	0.8356078940169176	1.0	0.0128291565552456	0.0089295166753585	1.4367134327268147	107.77970122700324	0.1536959488413134	0.7544	0.0007045079851014	0.0052130943522861	0.1351419977258883	132.52216565901836	0.8927046541853179	1.0	-0.0057301641307841	0.0086118989026826	-0.6653775428087177	128.60743003697337	0.5070005869337724	0.8797	-0.0005387957437585	0.0047602823789084	-0.1131856685951719	261.9999999966983	0.9099700350188258	1.0
theta_peak_freq	Age0:deltaAge	0.0003875440599845	0.0004183813114056	0.9262939080201308	133.5624548073185	0.3559639937858533	0.9965	0.0003875440599845	0.0004183813114056	0.9262939080201308	133.5624548073185	0.3559639937858533	0.9966	0.0003875440599845	0.0004183813114056	0.9262939080201308	133.5624548073185	0.3559639937858533	0.9968	0.0003251164040209	0.000412508409128	0.7881449125078099	129.2577192369896	0.4320549655023963	0.9985	0.0003875440599845	0.0004183813114056	0.9262939080201308	133.5624548073185	0.3559639937858533	0.9939	0.0003367578913768	0.0004132467791185	0.8149074799690168	132.82821483069603	0.4165839786000798	0.9985	0.0006715287679138	0.0006411324225004	1.047410401262882	110.89073719387642	0.297187944014053	0.9484	0.000786323295138	0.0003668089291734	2.1436863516650684	132.99414101995143	0.0338774921987144	0.3937	-0.0010867033921748	0.0006027697344573	-1.8028499608613957	128.25551360249705	0.0737597736606104	0.2138	-2.076625736771632e-05	0.0003349928149398	-0.0619901575245584	261.9999999951479	0.95061793338047	1.0
alpha_band_power	Age0	-0.0018415476523656	0.0018045418902112	-1.0205070119763735	131.08966939282337	0.3093677173734256	0.9891	-0.0058507667715194	0.0057418775909513	-1.0189640372584292	128.9120392761471	0.3101285534591276	0.9892	-0.0047246779287572	0.0057223255494534	-0.8256569620035751	133.0336240250706	0.4104769050011418	0.9987	-0.0015565958473228	0.0017348854122397	-0.897232656601382	130.08520645861825	0.3712523032981122	0.9968	-0.0018415476523656	0.0018045418902112	-1.0205070119763735	131.08966939282337	0.3093677173734256	0.9844	-0.0018334724785904	0.0017954930050835	-1.0211526713829144	131.0906956405082	0.3090629111540163	0.9892	-0.0012940445243253	0.0009254414428975	-1.398299734960791	108.49393123901544	0.1648748991807082	0.7415	-0.001909481042	0.0017677869298316	-1.0801533882716474	131.08841682203237	0.2820571691072338	0.982							-0.0001743411898638	0.0001647321671118	-1.0583311864372833	131.87833576103978	0.2918391391430491	0.9845
