High-Beta Power Model / Age effect	Parameter Estimate, a.u. p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)	High-Beta Frequency Model / Age effect	Parameter Estimate, Hz p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)
Basic Model				Basic Model			
A0	0.0005 (0.00059)	0.84 (131.1)	0.4 (1)	A0	-0.011 (0.0055)	-1.99 (131.2)	0.049 (0.45)
dA	-0.0035 (0.00049)	-7.15 (131.6)	5.3 x 10-11 (< 10-4)	dA	-0.017 (0.0052)	-3.31 (131.8)	0.0012 (0.019)
A0:dA	-0.00023 (3.5 x 10-5)	-6.7 (131.8)	5.6 x 10-10 (< 10-4)	A0:dA	9.7 x 10-5 (0.00037)	0.26 (132.1)	0.79 (1)
Empty-room Model				Empty-room Model			
A0	0.0045 (0.0056)	0.81 (130.2)	0.42 (1)	A0	-0.011 (0.0055)	-1.99 (131.2)	0.049 (0.45)
dA	-0.034 (0.0058)	-5.84 (157.4)	2.9 x 10-8 (< 10-4)	dA	-0.017 (0.0052)	-3.31 (131.8)	0.0012 (0.019)
A0:dA	-0.0022 (0.00033)	-6.61 (130.3)	9 x 10-10 (< 10-4)	A0:dA	9.7 x 10-5 (0.00037)	0.26 (132.1)	0.79 (1)
Cardiac Model				Cardiac Model			
A0	0.0057 (0.0055)	1.05 (132.3)	0.3 (0.98)	A0	-0.011 (0.0055)	-1.99 (131.2)	0.049 (0.45)
dA	-0.03 (0.005)	-5.94 (139.6)	2.2 x 10-8 (< 10-4)	dA	-0.017 (0.0052)	-3.31 (131.8)	0.0012 (0.019)
A0:dA	-0.0021 (0.00033)	-6.19 (132.6)	7.1 x 10-9 (< 10-4)	A0:dA	9.7 x 10-5 (0.00037)	0.26 (132.1)	0.79 (1)
6-covariate Model				6-covariate Model			
A0	0.00074 (0.00059)	1.26 (130.2)	0.21 (0.93)	A0	-0.012 (0.0056)	-2.18 (131.1)	0.031 (0.31)
dA	-0.0037 (0.00056)	-6.65 (133.3)	6.8 x 10-10 (< 10-4)	dA	-0.017 (0.0059)	-2.94 (135.2)	0.0039 (0.058)
A0:dA	-0.00024 (3.5 x 10-5)	-6.76 (128.0)	4.3 x 10-10 (< 10-4)	A0:dA	9.7 x 10-5 (0.00037)	0.26 (128.9)	0.79 (1)
