Parameter / Age effect	Parameter Estimate, a.u./Hz p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)
Exponent			
A0	0.00037 (0.00015)	2.39 (132.1)	0.018 (0.18)
dA	0.00096 (0.0004)	2.4 (136.6)	0.018 (0.21)
A0:dA	-1.6 x 10-5 (2.8 x 10-5)	-0.56 (139.1)	0.57 (1)
Theta Peak Frequency			
A0	0.0012 (0.0012)	1.01 (262.0)	0.32 (0.99)
dA	0.0016 (0.0032)	0.5 (262.0)	0.62 (1)
A0:dA	2.7 x 10-5 (0.00023)	0.12 (262.0)	0.91 (1)
Theta Band Power			
A0	-2.2 x 10-5 (8.1 x 10-5)	-0.27 (132.2)	0.79 (1)
dA	-0.00097 (0.00021)	-4.6 (136.8)	9.5 x 10-6 (0.0001)
A0:dA	8.6 x 10-7 (1.5 x 10-5)	0.06 (139.3)	0.95 (1)
Alpha Peak Frequency			
A0	-0.0013 (0.0015)	-0.85 (132.0)	0.4 (1)
dA	0.0093 (0.0038)	2.48 (136.0)	0.014 (0.18)
A0:dA	0.00027 (0.00026)	1.03 (138.2)	0.31 (0.99)
Alpha Band Power			
A0	-0.00013 (0.00019)	-0.66 (131.7)	0.51 (1)
dA	0.0021 (0.00039)	5.39 (134.4)	3.1 x 10-7 (< 10-4)
A0:dA	-5.9 x 10-6 (2.7 x 10-5)	-0.22 (136.0)	0.83 (1)
Beta Peak Frequency			
A0	0.006 (0.0067)	0.88 (131.0)	0.38 (1)
dA	-0.29 (0.018)	-16.51 (135.7)	2.9 x 10-34 (< 10-4)
A0:dA	3.5 x 10-5 (0.0013)	0.03 (138.3)	0.98 (1)
Beta Band Power			
A0	0.0002 (0.00023)	0.85 (131.9)	0.39 (1)
dA	-0.0034 (0.0006)	-5.63 (136.3)	9.8 x 10-8 (< 10-4)
A0:dA	-7 x 10-5 (4.2 x 10-5)	-1.65 (138.8)	0.1 (0.73)
Low Alpha Peak Frequency			
A0	0.00031 (0.00088)	0.35 (132.1)	0.73 (1)
dA	0.0036 (0.0022)	1.67 (136.2)	0.098 (0.73)
A0:dA	0.00015 (0.00015)	1.01 (138.5)	0.31 (0.99)
Low Alpha Band Power			
A0	-7.5 x 10-5 (0.0002)	-0.38 (131.6)	0.71 (1)
dA	0.0015 (0.00039)	3.75 (134.2)	0.00027 (0.0042)
A0:dA	2.1 x 10-6 (2.7 x 10-5)	0.08 (135.7)	0.94 (1)
High Alpha Peak Frequency			
A0	9.3 x 10-5 (0.00094)	0.1 (262.0)	0.92 (1)
dA	0.0037 (0.0025)	1.47 (262.0)	0.14 (0.86)
A0:dA	5.6 x 10-5 (0.00018)	0.32 (262.0)	0.75 (1)
High Alpha Band Power			
A0	-0.00018 (0.00018)	-0.98 (131.8)	0.33 (0.99)
dA	0.0023 (0.00039)	5.84 (134.8)	3.8 x 10-8 (< 10-4)
A0:dA	-3.2 x 10-6 (2.8 x 10-5)	-0.12 (136.5)	0.91 (1)
Low Beta Peak Frequency			
A0	0.00045 (0.0022)	0.21 (131.9)	0.84 (1)
dA	-0.054 (0.0056)	-9.6 (136.2)	5.4 x 10-17 (< 10-4)
A0:dA	0.00037 (0.00039)	0.95 (138.6)	0.34 (0.99)
Low Beta Band Power			
A0	-4.6 x 10-5 (0.00021)	-0.22 (131.8)	0.83 (1)
dA	0.0028 (0.00048)	5.87 (135.4)	3.2 x 10-8 (< 10-4)
A0:dA	-4.5 x 10-6 (3.4 x 10-5)	-0.13 (137.4)	0.89 (1)
High Beta Peak Frequency			
A0	0.0013 (0.0024)	0.55 (130.5)	0.58 (1)
dA	-0.022 (0.0065)	-3.44 (135.2)	0.00077 (0.011)
A0:dA	0.0002 (0.00045)	0.43 (137.9)	0.67 (1)
High Beta Band Power			
A0	0.00023 (0.00019)	1.22 (131.3)	0.23 (0.94)
dA	-0.0069 (0.00049)	-14.15 (135.8)	1.7 x 10-28 (< 10-4)
A0:dA	-7.7 x 10-5 (3.4 x 10-5)	-2.24 (138.4)	0.027 (0.29)
Gamma Peak Frequency			
A0	0.0055 (0.0019)	2.84 (262.0)	0.0048 (0.057)
dA	0.045 (0.0051)	8.74 (262.0)	2.8 x 10-16 (< 10-4)
A0:dA	-9.6 x 10-5 (0.00036)	-0.27 (262.0)	0.79 (1)
Gamma Band Power			
A0	-0.00015 (0.00012)	-1.26 (262.0)	0.21 (0.93)
dA	-0.0026 (0.00032)	-8.34 (262.0)	4.2 x 10-15 (< 10-4)
A0:dA	1.7 x 10-5 (2.2 x 10-5)	0.75 (262.0)	0.45 (1)
