Parameter / Age effect	Parameter Estimate, a.u./Hz p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)
Exponent			
A0	-0.031 (0.011)	-2.91 (131.3)	0.0043 (0.0087)
dA	-0.018 (0.013)	-1.41 (132.3)	0.16 (0.41)
A0:dA	-0.00096 (0.00092)	-1.04 (132.9)	0.3 (0.66)
Theta Peak Frequency			
A0	-0.001 (0.0055)	-0.19 (129.0)	0.85 (1)
dA	-0.0057 (0.0086)	-0.67 (128.6)	0.51 (0.88)
A0:dA	-0.0011 (0.0006)	-1.8 (128.3)	0.074 (0.21)
Theta Band Power			
A0	-0.00025 (0.00068)	-0.38 (127.0)	0.71 (0.97)
dA	-0.00026 (0.0011)	-0.24 (126.8)	0.81 (0.99)
A0:dA	-5.8 x 10-5 (7.5 x 10-5)	-0.78 (126.4)	0.44 (0.82)
