Parameter / Age effect	Parameter Estimate, a.u./Hz p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)
Exponent			
A0	-0.0011 (0.00091)	-1.24 (131.2)	0.22 (0.94)
dA	-0.0012 (0.00098)	-1.17 (131.9)	0.24 (0.97)
A0:dA	0.0002 (6.9 x 10-5)	2.89 (132.4)	0.0044 (0.064)
Theta Peak Frequency			
A0	0.0036 (0.0031)	1.14 (131.3)	0.25 (0.97)
dA	-0.00072 (0.0047)	-0.15 (132.8)	0.88 (1)
A0:dA	0.00033 (0.00034)	0.99 (133.7)	0.32 (0.99)
Theta Band Power			
A0	0.0041 (0.0011)	3.79 (131.2)	0.00023 (0.0024)
dA	0.0036 (0.0011)	3.32 (131.8)	0.0012 (0.02)
A0:dA	7.2 x 10-5 (7.6 x 10-5)	0.94 (132.2)	0.35 (0.99)
Alpha Peak Frequency			
A0	-0.016 (0.0034)	-4.54 (131.1)	1.3 x 10-5 (< 10-4)
dA	-0.016 (0.0031)	-5.08 (131.7)	1.3 x 10-6 (0.0001)
A0:dA	2.4 x 10-5 (0.00022)	0.11 (132.0)	0.91 (1)
Alpha Band Power			
A0	-0.0013 (0.0017)	-0.8 (131.1)	0.43 (1)
dA	-0.0061 (0.0012)	-5.17 (131.4)	8.3 x 10-7 (0.0001)
A0:dA	-0.00018 (8.3 x 10-5)	-2.14 (131.6)	0.035 (0.39)
Beta Peak Frequency			
A0	-0.029 (0.012)	-2.43 (131.1)	0.016 (0.19)
dA	0.011 (0.01)	1.07 (131.5)	0.29 (0.98)
A0:dA	-0.00068 (0.00071)	-0.95 (131.8)	0.34 (0.99)
Beta Band Power			
A0	0.0016 (0.00073)	2.13 (131.1)	0.035 (0.34)
dA	-0.0003 (0.00063)	-0.48 (131.6)	0.63 (1)
A0:dA	-0.00021 (4.4 x 10-5)	-4.75 (131.9)	5.2 x 10-6 (0.0002)
Low Alpha Peak Frequency			
A0	-0.0052 (0.002)	-2.66 (131.4)	0.0089 (0.11)
dA	-0.0038 (0.0029)	-1.31 (132.9)	0.19 (0.93)
A0:dA	-0.00034 (0.00021)	-1.66 (133.7)	0.1 (0.75)
Low Alpha Band Power			
A0	0.0013 (0.0017)	0.77 (131.1)	0.44 (1)
dA	-0.0021 (0.0013)	-1.55 (131.5)	0.12 (0.82)
A0:dA	-0.00025 (9.4 x 10-5)	-2.61 (131.7)	0.01 (0.14)
High Alpha Peak Frequency			
A0	0.0044 (0.0017)	2.57 (131.3)	0.011 (0.13)
dA	0.0015 (0.0023)	0.64 (132.4)	0.52 (1)
A0:dA	0.00014 (0.00016)	0.86 (133.1)	0.39 (1)
High Alpha Band Power			
A0	-0.0036 (0.0013)	-2.8 (131.1)	0.0059 (0.071)
dA	-0.0051 (0.0011)	-4.46 (131.7)	1.8 x 10-5 (0.0002)
A0:dA	4.7 x 10-6 (8 x 10-5)	0.06 (132.0)	0.95 (1)
Low Beta Peak Frequency			
A0	-0.0029 (0.0058)	-0.5 (131.2)	0.62 (1)
dA	-0.014 (0.0068)	-2.04 (132.1)	0.043 (0.45)
A0:dA	-0.0012 (0.00048)	-2.46 (132.6)	0.015 (0.2)
Low Beta Band Power			
A0	0.0018 (0.0008)	2.25 (131.1)	0.026 (0.28)
dA	-0.0017 (0.00059)	-2.92 (131.4)	0.0041 (0.062)
A0:dA	-0.00014 (4.2 x 10-5)	-3.33 (131.6)	0.0011 (0.016)
High Beta Peak Frequency			
A0	-0.0094 (0.0046)	-2.04 (131.2)	0.044 (0.41)
dA	-0.033 (0.0054)	-6.1 (132.2)	1.1 x 10-8 (0.0001)
A0:dA	0.00023 (0.00038)	0.6 (132.7)	0.55 (1)
High Beta Band Power			
A0	0.0006 (0.00058)	1.03 (131.2)	0.31 (0.99)
dA	0.0013 (0.00064)	2.02 (132.0)	0.046 (0.47)
A0:dA	-0.00021 (4.5 x 10-5)	-4.59 (132.5)	1 x 10-5 (0.0002)
Gamma Peak Frequency			
A0	-0.0055 (0.0069)	-0.79 (133.2)	0.43 (1)
dA	0.041 (0.015)	2.7 (135.1)	0.0078 (0.11)
A0:dA	0.0019 (0.0011)	1.73 (138.0)	0.086 (0.7)
Gamma Band Power			
A0	8.1 x 10-5 (0.00013)	0.65 (132.1)	0.52 (1)
dA	-0.00027 (0.00025)	-1.12 (133.2)	0.27 (0.98)
A0:dA	9.1 x 10-6 (1.7 x 10-5)	0.52 (135.7)	0.6 (1)
