Aperiodic Exponent Model / Age effect	Parameter Estimate, a.u. p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)
Basic Model			
A0	-0.0011 (0.00091)	-1.24 (131.2)	0.22 (0.94)
dA	-0.0011 (0.00098)	-1.15 (131.9)	0.25 (0.97)
A0:dA	0.0002 (6.9 x 10-5)	2.91 (132.4)	0.0043 (0.06)
Empty-room Model			
A0	-0.0063 (0.0055)	-1.15 (131.5)	0.25 (0.97)
dA	-0.0056 (0.006)	-0.94 (131.7)	0.35 (1)
A0:dA	0.0012 (0.00041)	2.88 (130.6)	0.0047 (0.065)
Cardiac Model			
A0	-0.0057 (0.0056)	-1.02 (134.6)	0.31 (0.99)
dA	-0.0061 (0.0059)	-1.04 (132.2)	0.3 (0.99)
A0:dA	0.0012 (0.00042)	3.0 (132.1)	0.0033 (0.047)
6-covariate Model			
A0	-0.0013 (0.0009)	-1.46 (129.0)	0.15 (0.84)
dA	-0.00015 (0.0011)	-0.14 (135.0)	0.89 (1)
A0:dA	0.0002 (7 x 10-5)	2.9 (127.0)	0.0044 (0.063)
