Theta Power Model / Age effect	Parameter Estimate, a.u. p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)
Basic Model			
A0	0.004 (0.0011)	3.75 (131.2)	0.00027 (0.003)
dA	0.0033 (0.0011)	3.1 (131.8)	0.0024 (0.038)
A0:dA	6.3 x 10-5 (7.5 x 10-5)	0.84 (132.2)	0.4 (1)
Empty-room Model			
A0	0.019 (0.0053)	3.67 (130.5)	0.00035 (0.0042)
dA	0.014 (0.0055)	2.62 (137.1)	0.0099 (0.14)
A0:dA	0.00027 (0.00038)	0.72 (131.0)	0.47 (1)
Cardiac Model			
A0	0.02 (0.0054)	3.72 (130.3)	0.0003 (0.0033)
dA	0.015 (0.0053)	2.89 (132.0)	0.0045 (0.068)
A0:dA	0.00035 (0.00037)	0.94 (131.4)	0.35 (1)
6-covariate Model			
A0	0.0039 (0.0011)	3.61 (130.6)	0.00043 (0.0051)
dA	0.0031 (0.0012)	2.6 (135.1)	0.01 (0.15)
A0:dA	4.9 x 10-5 (7.5 x 10-5)	0.66 (128.5)	0.51 (1)
