Alpha Power Model / Age effect	Parameter Estimate, a.u. p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)	Alpha Frequency Model / Age effect	Parameter Estimate, Hz p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)
Basic Model				Basic Model			
A0	-0.0013 (0.0017)	-0.79 (131.1)	0.43 (1)	A0	-0.016 (0.0034)	-4.64 (131.2)	8.2 x 10-6 (0.0001)
dA	-0.006 (0.0012)	-5.15 (131.4)	9.4 x 10-7 (< 10-4)	dA	-0.016 (0.0031)	-5.17 (131.7)	8.5 x 10-7 (< 10-4)
A0:dA	-0.00018 (8.3 x 10-5)	-2.12 (131.6)	0.036 (0.39)	A0:dA	-3.3 x 10-5 (0.00022)	-0.15 (132.0)	0.88 (1)
Empty-room Model				Empty-room Model			
A0	-0.0047 (0.0057)	-0.82 (128.1)	0.41 (1)	A0	-0.016 (0.0034)	-4.64 (131.2)	8.2 x 10-6 (0.0001)
dA	-0.021 (0.0041)	-5.12 (127.7)	1.1 x 10-6 (< 10-4)	dA	-0.016 (0.0031)	-5.17 (131.7)	8.5 x 10-7 (< 10-4)
A0:dA	-0.00062 (0.00029)	-2.15 (128.0)	0.034 (0.38)	A0:dA	-3.3 x 10-5 (0.00022)	-0.15 (132.0)	0.88 (1)
Cardiac Model				Cardiac Model			
A0	-0.0036 (0.0057)	-0.63 (132.9)	0.53 (1)	A0	-0.016 (0.0034)	-4.64 (131.2)	8.2 x 10-6 (0.0001)
dA	-0.021 (0.004)	-5.12 (130.7)	1.1 x 10-6 (< 10-4)	dA	-0.016 (0.0031)	-5.17 (131.7)	8.5 x 10-7 (< 10-4)
A0:dA	-0.0006 (0.00028)	-2.11 (130.9)	0.037 (0.4)	A0:dA	-3.3 x 10-5 (0.00022)	-0.15 (132.0)	0.88 (1)
6-covariate Model				6-covariate Model			
A0	-0.0011 (0.0016)	-0.67 (130.0)	0.5 (1)	A0	-0.015 (0.0033)	-4.42 (129.5)	2.1 x 10-5 (0.0003)
dA	-0.0069 (0.0013)	-5.34 (131.6)	4 x 10-7 (< 10-4)	dA	-0.02 (0.0036)	-5.47 (133.7)	2.1 x 10-7 (< 10-4)
A0:dA	-0.00017 (8.1 x 10-5)	-2.15 (127.7)	0.034 (0.38)	A0:dA	-4.3 x 10-5 (0.00022)	-0.19 (127.3)	0.85 (1)
