Beta Power Model / Age effect	Parameter Estimate, a.u. p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)	Beta Frequency Model / Age effect	Parameter Estimate, Hz p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)
Basic Model				Basic Model			
A0	0.0016 (0.00076)	2.04 (131.1)	0.044 (0.41)	A0	-0.032 (0.013)	-2.48 (131.1)	0.014 (0.17)
dA	-0.0031 (0.00059)	-5.34 (131.5)	4 x 10-7 (< 10-4)	dA	-0.061 (0.0093)	-6.61 (131.4)	8.9 x 10-10 (< 10-4)
A0:dA	-0.00021 (4.1 x 10-5)	-5.0 (131.7)	1.8 x 10-6 (< 10-4)	A0:dA	-0.0013 (0.00065)	-1.95 (131.6)	0.053 (0.52)
Empty-room Model				Empty-room Model			
A0	0.012 (0.0057)	2.08 (129.0)	0.039 (0.38)	A0	-0.032 (0.013)	-2.48 (131.1)	0.014 (0.17)
dA	-0.021 (0.0052)	-4.05 (148.7)	8.2 x 10-5 (0.0013)	dA	-0.061 (0.0093)	-6.61 (131.4)	8.9 x 10-10 (< 10-4)
A0:dA	-0.0015 (0.00031)	-4.84 (128.8)	3.7 x 10-6 (0.0001)	A0:dA	-0.0013 (0.00065)	-1.95 (131.6)	0.053 (0.52)
Cardiac Model				Cardiac Model			
A0	0.012 (0.0056)	2.07 (126.9)	0.041 (0.39)	A0	-0.032 (0.013)	-2.48 (131.1)	0.014 (0.17)
dA	-0.023 (0.0044)	-5.12 (127.1)	1.1 x 10-6 (< 10-4)	dA	-0.061 (0.0093)	-6.61 (131.4)	8.9 x 10-10 (< 10-4)
A0:dA	-0.0015 (0.00031)	-4.84 (126.7)	3.8 x 10-6 (0.0001)	A0:dA	-0.0013 (0.00065)	-1.95 (131.6)	0.053 (0.52)
6-covariate Model				6-covariate Model			
A0	0.0018 (0.00075)	2.43 (130.1)	0.017 (0.18)	A0	-0.033 (0.013)	-2.57 (130.2)	0.011 (0.13)
dA	-0.0035 (0.00065)	-5.43 (132.2)	2.6 x 10-7 (< 10-4)	dA	-0.057 (0.011)	-5.38 (131.9)	3.3 x 10-7 (< 10-4)
A0:dA	-0.00021 (4.1 x 10-5)	-5.26 (127.8)	6 x 10-7 (< 10-4)	A0:dA	-0.0012 (0.00066)	-1.9 (127.9)	0.06 (0.56)
