Low-Alpha Power Model / Age effect	Parameter Estimate, a.u. p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)	Low-Alpha Frequency Model / Age effect	Parameter Estimate, Hz p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)
Basic Model				Basic Model			
A0	0.0013 (0.0018)	0.75 (131.1)	0.45 (1)	A0	-0.0055 (0.002)	-2.8 (131.4)	0.0059 (0.069)
dA	-0.0022 (0.0013)	-1.68 (131.5)	0.096 (0.73)	dA	-0.0041 (0.0029)	-1.4 (132.9)	0.17 (0.89)
A0:dA	-0.00024 (9.4 x 10-5)	-2.54 (131.7)	0.012 (0.17)	A0:dA	-0.00037 (0.00021)	-1.79 (133.7)	0.075 (0.64)
Empty-room Model				Empty-room Model			
A0	0.004 (0.0057)	0.71 (124.0)	0.48 (1)	A0	-0.0055 (0.002)	-2.8 (131.4)	0.0059 (0.069)
dA	-0.0079 (0.0044)	-1.77 (124.8)	0.078 (0.66)	dA	-0.0041 (0.0029)	-1.4 (132.9)	0.17 (0.9)
A0:dA	-0.00081 (0.00031)	-2.6 (124.5)	0.01 (0.14)	A0:dA	-0.00037 (0.00021)	-1.79 (133.7)	0.075 (0.65)
Cardiac Model				Cardiac Model			
A0	0.0051 (0.0058)	0.89 (133.7)	0.38 (1)	A0	-0.0055 (0.002)	-2.8 (131.4)	0.0059 (0.07)
dA	-0.0072 (0.0043)	-1.67 (130.9)	0.097 (0.74)	dA	-0.0041 (0.0029)	-1.4 (132.9)	0.17 (0.89)
A0:dA	-0.00078 (0.00031)	-2.55 (131.1)	0.012 (0.16)	A0:dA	-0.00037 (0.00021)	-1.79 (133.7)	0.075 (0.65)
6-covariate Model				6-covariate Model			
A0	0.0014 (0.0017)	0.81 (129.9)	0.42 (1)	A0	-0.005 (0.002)	-2.49 (131.0)	0.014 (0.16)
dA	-0.0023 (0.0015)	-1.56 (132.2)	0.12 (0.8)	dA	-0.0033 (0.0033)	-1.02 (141.7)	0.31 (0.99)
A0:dA	-0.00024 (9.4 x 10-5)	-2.52 (127.6)	0.013 (0.17)	A0:dA	-0.00038 (0.00021)	-1.83 (129.9)	0.069 (0.61)
