High-Alpha Power Model / Age effect	Parameter Estimate, a.u. p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)	High-Alpha Frequency Model / Age effect	Parameter Estimate, Hz p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)
Basic Model				Basic Model			
A0	-0.0035 (0.0013)	-2.73 (131.1)	0.0072 (0.084)	A0	0.0043 (0.0017)	2.5 (131.3)	0.014 (0.16)
dA	-0.0057 (0.0011)	-4.99 (131.7)	1.9 x 10-6 (< 10-4)	dA	0.0023 (0.0023)	1.02 (132.5)	0.31 (0.99)
A0:dA	-5.4 x 10-6 (8.1 x 10-5)	-0.07 (132.0)	0.95 (1)	A0:dA	9.9 x 10-5 (0.00016)	0.62 (133.1)	0.54 (1)
Empty-room Model				Empty-room Model			
A0	-0.017 (0.0055)	-3.03 (133.5)	0.0029 (0.034)	A0	0.0043 (0.0017)	2.5 (131.3)	0.014 (0.16)
dA	-0.026 (0.0049)	-5.27 (131.7)	5.3 x 10-7 (< 10-4)	dA	0.0023 (0.0023)	1.02 (132.5)	0.31 (0.99)
A0:dA	-0.00017 (0.00035)	-0.48 (133.1)	0.63 (1)	A0:dA	9.9 x 10-5 (0.00016)	0.62 (133.1)	0.54 (1)
Cardiac Model				Cardiac Model			
A0	-0.015 (0.0055)	-2.68 (131.5)	0.0084 (0.1)	A0	0.0043 (0.0017)	2.5 (131.3)	0.014 (0.16)
dA	-0.024 (0.005)	-4.87 (130.6)	3.1 x 10-6 (< 10-4)	dA	0.0023 (0.0023)	1.02 (132.5)	0.31 (0.99)
A0:dA	-7.9 x 10-6 (0.00035)	-0.02 (130.7)	0.98 (1)	A0:dA	9.9 x 10-5 (0.00016)	0.62 (133.1)	0.54 (1)
6-covariate Model				6-covariate Model			
A0	-0.003 (0.0013)	-2.36 (130.7)	0.02 (0.21)	A0	0.0044 (0.0018)	2.51 (131.2)	0.013 (0.15)
dA	-0.0076 (0.0012)	-6.18 (133.9)	7.2 x 10-9 (< 10-4)	dA	0.0034 (0.0025)	1.39 (139.2)	0.17 (0.9)
A0:dA	-1.5 x 10-5 (7.7 x 10-5)	-0.2 (128.5)	0.85 (1)	A0:dA	0.00013 (0.00016)	0.8 (129.4)	0.43 (1)
