Low-Beta Power Model / Age effect	Parameter Estimate, a.u. p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)	Low-Beta Frequency Model / Age effect	Parameter Estimate, Hz p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)
Basic Model				Basic Model			
A0	0.0018 (0.0008)	2.21 (131.1)	0.029 (0.3)	A0	-0.0017 (0.0057)	-0.29 (131.2)	0.77 (1)
dA	-0.0019 (0.00059)	-3.22 (131.4)	0.0016 (0.026)	dA	-0.018 (0.0068)	-2.57 (132.2)	0.011 (0.16)
A0:dA	-0.00013 (4.2 x 10-5)	-3.21 (131.6)	0.0016 (0.022)	A0:dA	-0.0011 (0.00048)	-2.3 (132.7)	0.023 (0.28)
Empty-room Model				Empty-room Model			
A0	0.013 (0.0057)	2.22 (129.2)	0.028 (0.29)	A0	-0.0017 (0.0057)	-0.29 (131.2)	0.77 (1)
dA	-0.013 (0.0042)	-3.1 (130.1)	0.0024 (0.039)	dA	-0.018 (0.0068)	-2.57 (132.2)	0.011 (0.16)
A0:dA	-0.00093 (0.0003)	-3.13 (129.4)	0.0021 (0.03)	A0:dA	-0.0011 (0.00048)	-2.3 (132.7)	0.023 (0.28)
Cardiac Model				Cardiac Model			
A0	0.011 (0.0058)	2.0 (130.3)	0.048 (0.44)	A0	-0.0017 (0.0057)	-0.29 (131.2)	0.77 (1)
dA	-0.015 (0.0041)	-3.72 (129.9)	0.00029 (0.0044)	dA	-0.018 (0.0068)	-2.57 (132.2)	0.011 (0.16)
A0:dA	-0.001 (0.00029)	-3.54 (129.0)	0.00055 (0.0077)	A0:dA	-0.0011 (0.00048)	-2.3 (132.7)	0.023 (0.28)
6-covariate Model				6-covariate Model			
A0	0.0019 (0.0008)	2.43 (130.0)	0.017 (0.18)	A0	-0.002 (0.0057)	-0.35 (129.8)	0.73 (1)
dA	-0.0023 (0.00066)	-3.52 (131.8)	0.0006 (0.0089)	dA	-0.01 (0.0077)	-1.35 (137.2)	0.18 (0.92)
A0:dA	-0.00014 (4.1 x 10-5)	-3.4 (127.7)	0.00089 (0.013)	A0:dA	-0.0012 (0.00048)	-2.42 (128.0)	0.017 (0.22)
