Parameter / Age effect	Parameter Estimate, a.u./Hz p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)
Exponent			
A0	0.0015 (0.0014)	1.08 (119.3)	0.28 (0.93)
dA	-0.0026 (0.002)	-1.32 (102.0)	0.19 (0.83)
A0:dA	-4.4 x 10-5 (0.00014)	-0.31 (103.4)	0.75 (1)
Theta Peak Frequency			
A0	0.0015 (0.0056)	0.27 (126.6)	0.79 (1)
dA	0.012 (0.0089)	1.36 (108.1)	0.18 (0.8)
A0:dA	0.00069 (0.00064)	1.09 (110.9)	0.28 (0.93)
Theta Band Power			
A0	5.3 x 10-5 (0.00084)	0.06 (118.3)	0.95 (1)
dA	-0.0023 (0.0013)	-1.85 (98.1)	0.067 (0.45)
A0:dA	-0.00023 (9.1 x 10-5)	-2.52 (100.6)	0.013 (0.12)
Alpha Peak Frequency			
A0	0.0037 (0.006)	0.63 (108.2)	0.53 (1)
dA	0.0087 (0.013)	0.68 (99.6)	0.5 (1)
A0:dA	0.00038 (0.0009)	0.43 (103.0)	0.67 (1)
Alpha Band Power			
A0	-0.0013 (0.00091)	-1.46 (108.8)	0.15 (0.7)
dA	-0.0023 (0.0013)	-1.87 (81.8)	0.066 (0.44)
A0:dA	-0.00015 (8.9 x 10-5)	-1.69 (83.6)	0.095 (0.57)
Beta Peak Frequency			
A0	0.011 (0.02)	0.58 (117.9)	0.57 (1)
dA	-0.016 (0.04)	-0.39 (110.3)	0.7 (1)
A0:dA	0.0019 (0.0029)	0.65 (112.8)	0.51 (1)
Beta Band Power			
A0	-0.0026 (0.001)	-2.63 (122.9)	0.0097 (0.072)
dA	-0.0032 (0.0014)	-2.3 (105.4)	0.023 (0.2)
A0:dA	-0.00031 (9.8 x 10-5)	-3.12 (106.8)	0.0024 (0.023)
Low Beta Peak Frequency			
A0	-0.0022 (0.01)	-0.21 (117.3)	0.83 (1)
dA	-0.06 (0.025)	-2.38 (115.6)	0.019 (0.17)
A0:dA	-1.4 x 10-5 (0.0018)	-0.01 (119.1)	0.99 (1)
Low Beta Band Power			
A0	-0.0021 (0.001)	-2.05 (121.4)	0.042 (0.28)
dA	-0.0031 (0.0014)	-2.32 (100.9)	0.022 (0.19)
A0:dA	-0.00029 (9.6 x 10-5)	-2.98 (102.4)	0.0036 (0.034)
High Beta Peak Frequency			
A0	-0.0037 (0.0092)	-0.4 (116.9)	0.69 (1)
dA	-0.02 (0.022)	-0.89 (115.2)	0.37 (0.98)
A0:dA	8 x 10-5 (0.0016)	0.05 (117.1)	0.96 (1)
High Beta Band Power			
A0	-0.0021 (0.00087)	-2.41 (123.3)	0.017 (0.13)
dA	-0.0027 (0.0012)	-2.24 (103.1)	0.028 (0.23)
A0:dA	-0.00029 (8.4 x 10-5)	-3.39 (103.8)	0.001 (0.01)
