Covariate / Age effect	Parameter Estimate, mm p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected*)
Head position (x)			
A0	-0.014 (0.013)	-1.07 (131.9)	0.29 (1.1)
dA	-0.055 (0.03)	-1.85 (135.6)	0.066 (0.26)
A0:dA	-0.0015 (0.0021)	-0.7 (137.6)	0.48 (1.9)
Head position (y)			
A0	-0.0079 (0.026)	-0.31 (132.1)	0.76 (3)
dA	-0.33 (0.065)	-5.03 (136.4)	1.5 x 10-6 (6 x 10-6)
A0:dA	0.0025 (0.0046)	0.55 (138.8)	0.58 (2.3)
Head position (z)			
A0	-0.08 (0.031)	-2.58 (131.6)	0.011 (0.044)
dA	0.23 (0.066)	3.54 (134.7)	0.00055 (0.0022)
A0:dA	0.00093 (0.0047)	0.2 (136.5)	0.84 (3.4)
Head movement			
A0	0.003 (0.003)	0.98 (131.9)	0.33 (1.3)
dA	-0.00096 (0.007)	-0.14 (135.5)	0.89 (3.6)
A0:dA	-0.00015 (0.00049)	-0.3 (137.5)	0.77 (3.1)
