Parameter / Age effect	Parameter Estimate, a.u./Hz p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)
Exponent			
A0	-0.0011 (0.00091)	-1.24 (131.2)	0.22 (0.93)
dA	-0.0011 (0.00098)	-1.15 (131.9)	0.25 (0.96)
A0:dA	0.0002 (6.9 x 10-5)	2.91 (132.4)	0.0043 (0.055)
Theta Peak Frequency			
A0	0.0031 (0.0031)	0.99 (131.3)	0.32 (0.99)
dA	-0.00097 (0.0048)	-0.2 (132.9)	0.84 (1)
A0:dA	0.00034 (0.00034)	1.01 (133.8)	0.32 (0.99)
Theta Band Power			
A0	0.004 (0.0011)	3.75 (131.2)	0.00027 (0.003)
dA	0.0033 (0.0011)	3.1 (131.8)	0.0024 (0.034)
A0:dA	6.3 x 10-5 (7.5 x 10-5)	0.84 (132.2)	0.4 (1)
Alpha Peak Frequency			
A0	-0.016 (0.0034)	-4.64 (131.2)	8.2 x 10-6 (< 10-4)
dA	-0.016 (0.0031)	-5.17 (131.7)	8.5 x 10-7 (< 10-4)
A0:dA	-3.3 x 10-5 (0.00022)	-0.15 (132.0)	0.88 (1)
Alpha Band Power			
A0	-0.0013 (0.0017)	-0.79 (131.1)	0.43 (1)
dA	-0.006 (0.0012)	-5.15 (131.4)	9.4 x 10-7 (< 10-4)
A0:dA	-0.00018 (8.3 x 10-5)	-2.12 (131.6)	0.036 (0.37)
Beta Peak Frequency			
A0	-0.024 (0.013)	-1.88 (120.9)	0.062 (0.49)
dA	-0.051 (0.01)	-5.13 (111.6)	1.2 x 10-6 (< 10-4)
A0:dA	-0.00099 (0.00071)	-1.39 (110.7)	0.17 (0.88)
Beta Band Power			
A0	0.0017 (0.00081)	2.08 (124.7)	0.04 (0.35)
dA	-0.0033 (0.00063)	-5.21 (115.3)	8.4 x 10-7 (< 10-4)
A0:dA	-0.0002 (4.5 x 10-5)	-4.38 (114.4)	2.6 x 10-5 (0.0002)
Low Alpha Peak Frequency			
A0	-0.0055 (0.002)	-2.8 (131.4)	0.0059 (0.064)
dA	-0.0041 (0.0029)	-1.4 (132.9)	0.17 (0.88)
A0:dA	-0.00037 (0.00021)	-1.79 (133.7)	0.075 (0.62)
Low Alpha Band Power			
A0	0.0013 (0.0018)	0.75 (131.1)	0.45 (1)
dA	-0.0022 (0.0013)	-1.68 (131.5)	0.096 (0.7)
A0:dA	-0.00024 (9.4 x 10-5)	-2.54 (131.7)	0.012 (0.15)
High Alpha Peak Frequency			
A0	0.0043 (0.0017)	2.5 (131.3)	0.014 (0.15)
dA	0.0023 (0.0023)	1.02 (132.5)	0.31 (0.98)
A0:dA	9.9 x 10-5 (0.00016)	0.62 (133.1)	0.54 (1)
High Alpha Band Power			
A0	-0.0035 (0.0013)	-2.73 (131.1)	0.0072 (0.078)
dA	-0.0057 (0.0011)	-4.99 (131.7)	1.9 x 10-6 (< 10-4)
A0:dA	-5.4 x 10-6 (8.1 x 10-5)	-0.07 (132.0)	0.95 (1)
Low Beta Peak Frequency			
A0	-0.0017 (0.0057)	-0.29 (131.2)	0.77 (1)
dA	-0.018 (0.0068)	-2.57 (132.2)	0.011 (0.14)
A0:dA	-0.0011 (0.00048)	-2.3 (132.7)	0.023 (0.26)
Low Beta Band Power			
A0	0.0018 (0.0008)	2.21 (131.1)	0.029 (0.28)
dA	-0.0019 (0.00059)	-3.22 (131.4)	0.0016 (0.024)
A0:dA	-0.00013 (4.2 x 10-5)	-3.21 (131.6)	0.0016 (0.02)
Gamma Peak Frequency			
A0	-0.0036 (0.0063)	-0.56 (131.7)	0.57 (1)
dA	0.047 (0.015)	3.22 (136.0)	0.0016 (0.024)
A0:dA	0.0014 (0.001)	1.34 (137.2)	0.18 (0.9)
Gamma Band Power			
A0	7.6 x 10-5 (0.00013)	0.61 (130.9)	0.54 (1)
dA	-0.00058 (0.00025)	-2.34 (133.9)	0.021 (0.24)
A0:dA	1.1 x 10-5 (1.7 x 10-5)	0.65 (134.6)	0.52 (1)
