Parameter / Age effect	Parameter Estimate, a.u./Hz p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)
Exponent			
A0	-0.0012 (0.001)	-1.17 (131.2)	0.24 (0.96)
dA	-0.00038 (0.001)	-0.36 (131.9)	0.72 (1)
A0:dA	0.00022 (7.4 x 10-5)	3.04 (132.3)	0.0028 (0.041)
Theta Peak Frequency			
A0	0.0042 (0.0033)	1.25 (132.1)	0.21 (0.94)
dA	0.0011 (0.0059)	0.19 (132.8)	0.85 (1)
A0:dA	0.00039 (0.00042)	0.93 (133.6)	0.36 (1)
Theta Band Power			
A0	0.0045 (0.0012)	3.84 (131.5)	0.00019 (0.0013)
dA	0.0039 (0.0014)	2.71 (130.3)	0.0076 (0.11)
A0:dA	8.5 x 10-5 (0.0001)	0.84 (130.6)	0.4 (1)
Alpha Peak Frequency			
A0	-0.016 (0.0035)	-4.62 (131.2)	9.1 x 10-6 (< 10-4)
dA	-0.019 (0.0038)	-4.95 (132.0)	2.3 x 10-6 (< 10-4)
A0:dA	5.8 x 10-5 (0.00027)	0.22 (132.4)	0.83 (1)
Alpha Band Power			
A0	-0.0018 (0.0018)	-1.02 (131.1)	0.31 (0.99)
dA	-0.0065 (0.0013)	-5.14 (131.4)	9.7 x 10-7 (< 10-4)
A0:dA	-0.00017 (9 x 10-5)	-1.88 (131.6)	0.062 (0.58)
Beta Peak Frequency			
A0	-0.025 (0.014)	-1.77 (131.1)	0.079 (0.62)
dA	-0.049 (0.011)	-4.38 (131.5)	2.4 x 10-5 (0.0004)
A0:dA	-0.0013 (0.00079)	-1.7 (131.7)	0.091 (0.72)
Beta Band Power			
A0	0.0016 (0.00082)	1.94 (131.1)	0.054 (0.48)
dA	-0.0027 (0.00061)	-4.41 (131.4)	2.1 x 10-5 (0.0004)
A0:dA	-0.00022 (4.3 x 10-5)	-5.13 (131.6)	1 x 10-6 (< 10-4)
Low Alpha Peak Frequency			
A0	-0.0064 (0.002)	-3.19 (131.4)	0.0018 (0.021)
dA	-0.004 (0.0032)	-1.23 (133.1)	0.22 (0.96)
A0:dA	-0.00043 (0.00023)	-1.88 (134.1)	0.063 (0.59)
Low Alpha Band Power			
A0	0.0015 (0.0019)	0.79 (131.1)	0.43 (1)
dA	-0.0024 (0.0015)	-1.56 (131.5)	0.12 (0.81)
A0:dA	-0.00025 (0.00011)	-2.29 (131.8)	0.024 (0.3)
High Alpha Peak Frequency			
A0	0.0049 (0.0018)	2.79 (131.4)	0.0061 (0.07)
dA	0.0015 (0.0027)	0.57 (132.9)	0.57 (1)
A0:dA	9.9 x 10-5 (0.00019)	0.52 (133.8)	0.6 (1)
High Alpha Band Power			
A0	-0.0043 (0.0014)	-3.09 (131.2)	0.0025 (0.027)
dA	-0.0066 (0.0014)	-4.81 (131.8)	4.1 x 10-6 (< 10-4)
A0:dA	4 x 10-5 (9.7 x 10-5)	0.42 (132.2)	0.68 (1)
Low Beta Peak Frequency			
A0	-0.0017 (0.0063)	-0.27 (131.2)	0.78 (1)
dA	-0.022 (0.0077)	-2.9 (132.2)	0.0044 (0.071)
A0:dA	-0.0012 (0.00054)	-2.17 (132.7)	0.032 (0.37)
Low Beta Band Power			
A0	0.002 (0.00087)	2.26 (131.1)	0.026 (0.27)
dA	-0.0017 (0.00063)	-2.67 (131.4)	0.0085 (0.12)
A0:dA	-0.00014 (4.5 x 10-5)	-3.18 (131.6)	0.0018 (0.028)
High Beta Peak Frequency			
A0	-0.0092 (0.0059)	-1.55 (131.2)	0.12 (0.79)
dA	-0.012 (0.0057)	-2.12 (131.8)	0.036 (0.41)
A0:dA	-0.00022 (0.0004)	-0.55 (132.1)	0.58 (1)
High Beta Band Power			
A0	0.0005 (0.00067)	0.76 (131.1)	0.45 (1)
dA	-0.0024 (0.00053)	-4.55 (131.5)	1.2 x 10-5 (0.0001)
A0:dA	-0.00024 (3.7 x 10-5)	-6.45 (131.8)	1.9 x 10-9 (< 10-4)
Gamma Peak Frequency			
A0	0.0017 (0.0078)	0.22 (133.8)	0.83 (1)
dA	0.045 (0.02)	2.29 (136.6)	0.024 (0.3)
A0:dA	0.0011 (0.0014)	0.75 (141.5)	0.45 (1)
Gamma Band Power			
A0	1.7 x 10-5 (0.00015)	0.11 (125.7)	0.91 (1)
dA	-6.8 x 10-5 (0.00035)	-0.2 (127.0)	0.85 (1)
A0:dA	-1.3 x 10-6 (2.5 x 10-5)	-0.05 (131.4)	0.96 (1)
