Gamma Power Model / Age effect	Parameter Estimate, a.u. p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)	Gamma Frequency Model / Age effect	Parameter Estimate, Hz p.a. (SD)	T-statistic (df)	P-value uncorrected (corrected)
Basic Model				Basic Model			
A0	7.6 x 10-5 (0.00013)	0.61 (130.9)	0.54 (1)	A0	-0.0036 (0.0063)	-0.56 (131.7)	0.57 (1)
dA	-0.00058 (0.00025)	-2.34 (133.9)	0.021 (0.26)	dA	0.047 (0.015)	3.22 (136.0)	0.0016 (0.025)
A0:dA	1.1 x 10-5 (1.7 x 10-5)	0.65 (134.6)	0.52 (1)	A0:dA	0.0014 (0.001)	1.34 (137.2)	0.18 (0.92)
Empty-room Model				Empty-room Model			
A0	0.00057 (0.0049)	0.12 (141.5)	0.91 (1)	A0	-0.0036 (0.0063)	-0.56 (131.7)	0.57 (1)
dA	-0.026 (0.0096)	-2.72 (140.7)	0.0073 (0.11)	dA	0.047 (0.015)	3.22 (136.0)	0.0016 (0.026)
A0:dA	0.00031 (0.00066)	0.47 (136.0)	0.64 (1)	A0:dA	0.0014 (0.001)	1.34 (137.2)	0.18 (0.92)
Cardiac Model				Cardiac Model			
A0	0.0027 (0.0048)	0.57 (130.6)	0.57 (1)	A0	-0.0036 (0.0063)	-0.56 (131.7)	0.57 (1)
dA	-0.021 (0.0096)	-2.14 (141.8)	0.034 (0.39)	dA	0.047 (0.015)	3.22 (136.0)	0.0016 (0.026)
A0:dA	0.00047 (0.00066)	0.7 (135.5)	0.48 (1)	A0:dA	0.0014 (0.001)	1.34 (137.2)	0.18 (0.92)
6-covariate Model				6-covariate Model			
A0	3.8 x 10-5 (0.00013)	0.29 (132.1)	0.77 (1)	A0	-0.003 (0.0066)	-0.45 (126.9)	0.65 (1)
dA	-0.00047 (0.00027)	-1.75 (147.6)	0.082 (0.67)	dA	0.041 (0.016)	2.66 (145.0)	0.0087 (0.12)
A0:dA	1.2 x 10-5 (1.7 x 10-5)	0.71 (132.7)	0.48 (1)	A0:dA	0.0014 (0.001)	1.36 (129.1)	0.18 (0.91)
